"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PARINACOCHAS (000)",10001,7612,1055,710,624
"Sin nivel (001)",1123,1064,43,7,9
"Educación inicial (002)",18,14,3,1,
"Primaria (003)",2809,2544,193,44,28
"Secundaria (004)",3175,2616,263,169,127
"Superior no univ. incompleta (005)",558,392,57,59,50
"Superior no univ. completa (006)",1462,670,325,251,216
"Superior univ. incompleta (007)",234,135,36,34,29
"Superior univ. completa (008)",622,177,135,145,165
"De 06 a 14 años (010)",198,177,15,6,
"Sin nivel (011)",3,1,1,1,
"Educación inicial (012)",5,3,2,,
"Primaria (013)",119,110,8,1,
"Secundaria (014)",71,63,4,4,
"De 15 a 29 años (020)",2992,2294,329,213,156
"Sin nivel (021)",50,48,2,,
"Educación inicial (022)",9,7,1,1,
"Primaria (023)",515,434,62,12,7
"Secundaria (024)",1531,1279,140,77,35
"Superior no univ. incompleta (025)",255,193,21,27,14
"Superior no univ. completa (026)",477,264,81,64,68
"Superior univ. incompleta (027)",59,43,5,7,4
"Superior univ. completa (028)",96,26,17,25,28
"De 30 a 44 años (030)",3331,2304,454,312,261
"Sin nivel (031)",256,235,13,3,5
"Educación inicial (032)",4,4,,,
"Primaria (033)",809,725,59,16,9
"Secundaria (034)",957,767,80,61,49
"Superior no univ. incompleta (035)",210,140,26,22,22
"Superior no univ. completa (036)",677,283,184,127,83
"Superior univ. incompleta (037)",111,60,22,13,16
"Superior univ. completa (038)",307,90,70,70,77
"De 45 a 64 años (040)",2545,1952,223,169,201
"Sin nivel (041)",449,429,15,1,4
"Primaria (043)",928,856,49,14,9
"Secundaria (044)",533,430,34,26,43
"Superior no univ. incompleta (045)",82,48,10,10,14
"Superior no univ. completa (046)",287,108,59,56,64
"Superior univ. incompleta (047)",57,27,9,12,9
"Superior univ. completa (048)",209,54,47,50,58
"De 65 y más años (050)",935,885,34,10,6
"Sin nivel (051)",365,351,12,2,
"Primaria (053)",438,419,15,1,3
"Secundaria (054)",83,77,5,1,
"Superior no univ. incompleta (055)",11,11,,,
"Superior no univ. completa (056)",21,15,1,4,1
"Superior univ. incompleta (057)",7,5,,2,
"Superior univ. completa (058)",10,7,1,,2
,,,,,
"URBANA (060)",6061,4269,686,546,560
