"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SUCRE (000)",3714,85,891,1331,976,431
"Empleado (001)",728,,164,369,191,4
"Obrero (002)",700,9,246,212,179,54
"Trabajador independiente (003)",1568,8,276,569,434,281
"Empleador o patrono (004)",18,,7,7,3,1
"Trabajador familiar no remunerado (005)",680,66,189,168,166,91
"Trabajador del hogar (006)",20,2,9,6,3,
"Hombres (008)",2581,58,619,933,668,303
"Empleado (009)",477,,84,247,143,3
"Obrero (010)",592,9,221,186,131,45
"Trabajador independiente (011)",1146,5,192,416,320,213
"Empleador o patrono (012)",12,,3,6,2,1
"Trabajador familiar no remunerado (013)",354,44,119,78,72,41
"Mujeres (016)",1133,27,272,398,308,128
"Empleado (017)",251,,80,122,48,1
"Obrero (018)",108,,25,26,48,9
"Trabajador independiente (019)",422,3,84,153,114,68
"Empleador o patrono (020)",6,,4,1,1,
"Trabajador familiar no remunerado (021)",326,22,70,90,94,50
"Trabajador del hogar (022)",20,2,9,6,3,
,,,,,,
"URBANA (024)",2428,55,572,934,621,246
"Empleado (025)",638,,139,329,167,3
"Obrero (026)",396,3,140,136,87,30
"Trabajador independiente (027)",901,6,159,342,244,150
"Empleador o patrono (028)",10,,4,2,3,1
"Trabajador familiar no remunerado (029)",466,44,122,121,117,62
"Trabajador del hogar (030)",17,2,8,4,3,
"Hombres (032)",1574,34,361,614,402,163
"Empleado (033)",418,,73,217,125,3
"Obrero (034)",332,3,125,119,61,24
"Trabajador independiente (035)",597,3,94,223,168,109
"Empleador o patrono (036)",6,,1,2,2,1
"Trabajador familiar no remunerado (037)",221,28,68,53,46,26
"Mujeres (040)",854,21,211,320,219,83
"Empleado (041)",220,,66,112,42,
"Obrero (042)",64,,15,17,26,6
"Trabajador independiente (043)",304,3,65,119,76,41
"Empleador o patrono (044)",4,,3,,1,
"Trabajador familiar no remunerado (045)",245,16,54,68,71,36
"Trabajador del hogar (046)",17,2,8,4,3,
,,,,,,
"RURAL (048)",1286,30,319,397,355,185
"Empleado (049)",90,,25,40,24,1
"Obrero (050)",304,6,106,76,92,24
"Trabajador independiente (051)",667,2,117,227,190,131
"Empleador o patrono (052)",8,,3,5,,
"Trabajador familiar no remunerado (053)",214,22,67,47,49,29
"Trabajador del hogar (054)",3,,1,2,,
"Hombres (056)",1007,24,258,319,266,140
"Empleado (057)",59,,11,30,18,
"Obrero (058)",260,6,96,67,70,21
"Trabajador independiente (059)",549,2,98,193,152,104
"Empleador o patrono (060)",6,,2,4,,
"Trabajador familiar no remunerado (061)",133,16,51,25,26,15
"Mujeres (064)",279,6,61,78,89,45
"Empleado (065)",31,,14,10,6,1
"Obrero (066)",44,,10,9,22,3
"Trabajador independiente (067)",118,,19,34,38,27
"Empleador o patrono (068)",2,,1,1,,
"Trabajador familiar no remunerado (069)",81,6,16,22,23,14
"Trabajador del hogar (070)",3,,1,2,,
