"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia SUCRE (000)",3671,728,700,1568,18,637,20
"Conviviente (001)",809,199,165,339,4,99,3
"Separado(a) (002)",103,20,23,42,,14,4
"Casado(a) (003)",1878,350,306,899,9,310,4
"Viudo(a) (004)",201,10,33,114,2,42,
"Divorciado(a) (005)",8,1,5,2,,,
"Soltero(a) (006)",672,148,168,172,3,172,9
"Hombres (008)",2551,477,592,1146,12,324,
"Conviviente (009)",595,136,146,259,4,50,
"Separado(a) (010)",52,11,13,21,,7,
"Casado(a) (011)",1339,256,254,693,6,130,
"Viudo(a) (012)",88,4,18,52,1,13,
"Divorciado(a) (013)",5,,4,1,,,
"Soltero(a) (014)",472,70,157,120,1,124,
"Mujeres (016)",1120,251,108,422,6,313,20
"Conviviente (017)",214,63,19,80,,49,3
"Separado(a) (018)",51,9,10,21,,7,4
"Casado(a) (019)",539,94,52,206,3,180,4
"Viudo(a) (020)",113,6,15,62,1,29,
"Divorciado(a) (021)",3,1,1,1,,,
"Soltero(a) (022)",200,78,11,52,2,48,9
,,,,,,,
"URBANA (024)",2400,638,396,901,10,438,17
"Conviviente (025)",543,174,94,196,2,75,2
"Separado(a) (026)",84,17,15,37,,11,4
"Casado(a) (027)",1211,309,170,511,4,214,3
"Viudo(a) (028)",123,9,18,59,2,35,
"Divorciado(a) (029)",6,1,4,1,,,
"Soltero(a) (030)",433,128,95,97,2,103,8
"Hombres (032)",1555,418,332,597,6,202,
"Conviviente (033)",372,118,81,135,2,36,
"Separado(a) (034)",42,10,9,18,,5,
"Casado(a) (035)",815,224,145,363,3,80,
"Viudo(a) (036)",44,4,6,22,1,11,
"Divorciado(a) (037)",3,,3,,,,
"Soltero(a) (038)",279,62,88,59,,70,
"Mujeres (040)",845,220,64,304,4,236,17
"Conviviente (041)",171,56,13,61,,39,2
"Separado(a) (042)",42,7,6,19,,6,4
"Casado(a) (043)",396,85,25,148,1,134,3
"Viudo(a) (044)",79,5,12,37,1,24,
"Divorciado(a) (045)",3,1,1,1,,,
"Soltero(a) (046)",154,66,7,38,2,33,8
,,,,,,,
"RURAL (048)",1271,90,304,667,8,199,3
"Conviviente (049)",266,25,71,143,2,24,1
"Separado(a) (050)",19,3,8,5,,3,
"Casado(a) (051)",667,41,136,388,5,96,1
"Viudo(a) (052)",78,1,15,55,,7,
"Divorciado(a) (053)",2,,1,1,,,
"Soltero(a) (054)",239,20,73,75,1,69,1
"Hombres (056)",996,59,260,549,6,122,
"Conviviente (057)",223,18,65,124,2,14,
"Separado(a) (058)",10,1,4,3,,2,
"Casado(a) (059)",524,32,109,330,3,50,
"Viudo(a) (060)",44,,12,30,,2,
"Divorciado(a) (061)",2,,1,1,,,
"Soltero(a) (062)",193,8,69,61,1,54,
"Mujeres (064)",275,31,44,118,2,77,3
"Conviviente (065)",43,7,6,19,,10,1
"Separado(a) (066)",9,2,4,2,,1,
"Casado(a) (067)",143,9,27,58,2,46,1
"Viudo(a) (068)",34,1,3,25,,5,
"Soltero(a) (070)",46,12,4,14,,15,1
