"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia SUCRE (000)",7158,3405,70,50,3272,199,5,13,,144
"Hombres (001)",2758,1786,56,12,699,90,4,9,,102
"Mujeres (002)",4400,1619,14,38,2573,109,1,4,,42
"De 06 a 14 años (003)",2840,2657,,,92,71,,1,,19
"Hombres (004)",1479,1388,,,41,38,,1,,11
"Mujeres (005)",1361,1269,,,51,33,,,,8
"De 15 a 29 años (006)",1483,726,1,4,721,,,4,,27
"Hombres (007)",551,387,,,143,,,3,,18
"Mujeres (008)",932,339,1,4,578,,,1,,9
"De 30 a 44 años (009)",877,17,2,9,817,,4,1,,27
"Hombres (010)",184,7,1,3,149,,3,1,,20
"Mujeres (011)",693,10,1,6,668,,1,,,7
"De 45 a 64 años (012)",956,4,28,24,852,1,1,3,,43
"Hombres (013)",239,3,24,6,173,,1,1,,31
"Mujeres (014)",717,1,4,18,679,1,,2,,12
"De 65 y más años (015)",1002,1,39,13,790,127,,4,,28
"Hombres (016)",305,1,31,3,193,52,,3,,22
"Mujeres (017)",697,,8,10,597,75,,1,,6
,,,,,,,,,,
"AREA URBANA (018)",4209,2219,51,32,1722,127,2,3,,53
"Hombres (019)",1665,1164,41,5,361,55,2,2,,35
"Mujeres (020)",2544,1055,10,27,1361,72,,1,,18
"De 06 a 14 años (021)",1761,1674,,,23,57,,,,7
"Hombres (022)",911,866,,,9,32,,,,4
"Mujeres (023)",850,808,,,14,25,,,,3
"De 15 a 29 años (024)",897,532,,2,351,,,1,,11
"Hombres (025)",360,292,,,60,,,1,,7
"Mujeres (026)",537,240,,2,291,,,,,4
"De 30 a 44 años (027)",508,10,1,6,479,,1,,,11
"Hombres (028)",104,4,,1,92,,1,,,6
"Mujeres (029)",404,6,1,5,387,,,,,5
"De 45 a 64 años (030)",483,2,19,14,435,1,1,,,11
"Hombres (031)",123,1,16,3,94,,1,,,8
"Mujeres (032)",360,1,3,11,341,1,,,,3
"De 65 y más años (033)",560,1,31,10,434,69,,2,,13
"Hombres (034)",167,1,25,1,106,23,,1,,10
"Mujeres (035)",393,,6,9,328,46,,1,,3
,,,,,,,,,,
"AREA RURAL (036)",2949,1186,19,18,1550,72,3,10,,91
"Hombres (037)",1093,622,15,7,338,35,2,7,,67
"Mujeres (038)",1856,564,4,11,1212,37,1,3,,24
"De 06 a 14 años (039)",1079,983,,,69,14,,1,,12
"Hombres (040)",568,522,,,32,6,,1,,7
"Mujeres (041)",511,461,,,37,8,,,,5
"De 15 a 29 años (042)",586,194,1,2,370,,,3,,16
"Hombres (043)",191,95,,,83,,,2,,11
"Mujeres (044)",395,99,1,2,287,,,1,,5
"De 30 a 44 años (045)",369,7,1,3,338,,3,1,,16
"Hombres (046)",80,3,1,2,57,,2,1,,14
"Mujeres (047)",289,4,,1,281,,1,,,2
"De 45 a 64 años (048)",473,2,9,10,417,,,3,,32
"Hombres (049)",116,2,8,3,79,,,1,,23
"Mujeres (050)",357,,1,7,338,,,2,,9
"De 65 y más años (051)",442,,8,3,356,58,,2,,15
"Hombres (052)",138,,6,2,87,29,,2,,12
"Mujeres (053)",304,,2,1,269,29,,,,3
