"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUALGAYOC (000)",42533,890,15731,13140,9194,3578
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",29,,3,12,11,3
"Profes., científicos e intelectuales (002)",1455,,344,847,257,7
"Técnicos de nivel medio y trab. asimilados (003)",436,,127,212,85,12
"Jefes y empleados de oficina (004)",244,,96,92,56,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1331,22,409,461,335,104
"Agricult. trabaj. calif.agrop. y pesqueros (006)",15579,104,4163,4786,4262,2264
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",8766,184,4183,2694,1354,351
"Obreros construc., conf., papel, fab., instr. (008)",1489,19,654,559,230,27
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",12745,561,5592,3328,2491,773
"Otra (010)",53,,7,26,20,
"Ocupación no especificada (011)",406,,153,123,93,37
"Hombres (012)",23176,395,8072,7334,5244,2131
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",25,,3,10,10,2
"Profes., científicos e intelectuales (014)",820,,171,480,162,7
"Técnicos de nivel medio y trab. asimilados (015)",329,,80,169,70,10
"Jefes y empleados de oficina (016)",154,,53,59,42,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",565,14,159,194,146,52
"Agricult. trabaj. calif.agrop. y pesqueros (018)",11506,48,2925,3665,3235,1633
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",2111,27,836,780,366,102
"Obreros construc., conf., papel, fab., instr. (020)",1110,5,483,432,172,18
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",6344,301,3292,1470,988,293
"Otra (022)",52,,7,26,19,
"Ocupación no especificada (023)",160,,63,49,34,14
"Mujeres (024)",19357,495,7659,5806,3950,1447
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",4,,,2,1,1
"Profes., científicos e intelectuales (026)",635,,173,367,95,
"Técnicos de nivel medio y trab. asimilados (027)",107,,47,43,15,2
"Jefes y empleados de oficina (028)",90,,43,33,14,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",766,8,250,267,189,52
"Agricult. trabaj. calif.agrop. y pesqueros (030)",4073,56,1238,1121,1027,631
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",6655,157,3347,1914,988,249
"Obreros construc., conf., papel, fab., instr. (032)",379,14,171,127,58,9
