"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUALGAYOC (000)",43401,920,16189,13379,9307,3606
"Empleado (001)",2560,26,783,1267,457,27
"Obrero (002)",4796,39,2011,1620,934,192
"Trabajador independiente (003)",25394,283,8444,7891,6026,2750
"Empleador o patrono (004)",132,,36,45,39,12
"Trabajador familiar no remunerado (005)",9239,521,4241,2228,1668,581
"Trabajador del hogar (006)",412,21,216,89,70,16
"Desocupado (008)",868,30,458,239,113,28
"Hombres (009)",23835,414,8400,7519,5346,2156
"Empleado (010)",1636,15,459,823,317,22
"Obrero (011)",4456,33,1826,1514,896,187
"Trabajador independiente (012)",14057,87,3860,4549,3763,1798
"Empleador o patrono (013)",94,,20,36,28,10
"Trabajador familiar no remunerado (014)",2920,259,1896,412,239,114
"Trabajador del hogar (015)",13,1,11,,1,
"Desocupado (017)",659,19,328,185,102,25
"Mujeres (018)",19566,506,7789,5860,3961,1450
"Empleado (019)",924,11,324,444,140,5
"Obrero (020)",340,6,185,106,38,5
"Trabajador independiente (021)",11337,196,4584,3342,2263,952
"Empleador o patrono (022)",38,,16,9,11,2
"Trabajador familiar no remunerado (023)",6319,262,2345,1816,1429,467
"Trabajador del hogar (024)",399,20,205,89,69,16
"Desocupado (026)",209,11,130,54,11,3
,,,,,,
"URBANA (027)",8450,151,2848,3184,1844,423
"Empleado (028)",2161,24,625,1087,403,22
"Obrero (029)",1560,8,594,616,300,42
"Trabajador independiente (030)",3165,37,892,1075,885,276
"Empleador o patrono (031)",79,,26,23,25,5
"Trabajador familiar no remunerado (032)",561,50,219,140,101,51
"Trabajador del hogar (033)",250,15,146,48,37,4
"Desocupado (035)",674,17,346,195,93,23
"Hombres (036)",5803,95,1853,2188,1338,329
"Empleado (037)",1338,15,350,682,274,17
"Obrero (038)",1419,7,520,570,283,39
"Trabajador independiente (039)",2177,28,580,721,621,227
"Empleador o patrono (040)",55,,16,16,19,4
"Trabajador familiar no remunerado (041)",293,33,129,53,56,22
"Trabajador del hogar (042)",7,,6,,1,
"Desocupado (044)",514,12,252,146,84,20
"Mujeres (045)",2647,56,995,996,506,94
"Empleado (046)",823,9,275,405,129,5
"Obrero (047)",141,1,74,46,17,3
"Trabajador independiente (048)",988,9,312,354,264,49
"Empleador o patrono (049)",24,,10,7,6,1
"Trabajador familiar no remunerado (050)",268,17,90,87,45,29
"Trabajador del hogar (051)",243,15,140,48,36,4
"Desocupado (053)",160,5,94,49,9,3
,,,,,,
"RURAL (054)",34951,769,13341,10195,7463,3183
"Empleado (055)",399,2,158,180,54,5
"Obrero (056)",3236,31,1417,1004,634,150
"Trabajador independiente (057)",22229,246,7552,6816,5141,2474
"Empleador o patrono (058)",53,,10,22,14,7
"Trabajador familiar no remunerado (059)",8678,471,4022,2088,1567,530
"Trabajador del hogar (060)",162,6,70,41,33,12
"Desocupado (062)",194,13,112,44,20,5
"Hombres (063)",18032,319,6547,5331,4008,1827
"Empleado (064)",298,,109,141,43,5
"Obrero (065)",3037,26,1306,944,613,148
"Trabajador independiente (066)",11880,59,3280,3828,3142,1571
"Empleador o patrono (067)",39,,4,20,9,6
"Trabajador familiar no remunerado (068)",2627,226,1767,359,183,92
"Trabajador del hogar (069)",6,1,5,,,
"Desocupado (071)",145,7,76,39,18,5
"Mujeres (072)",16919,450,6794,4864,3455,1356
"Empleado (073)",101,2,49,39,11,
"Obrero (074)",199,5,111,60,21,2
"Trabajador independiente (075)",10349,187,4272,2988,1999,903
"Empleador o patrono (076)",14,,6,2,5,1
"Trabajador familiar no remunerado (077)",6051,245,2255,1729,1384,438
"Trabajador del hogar (078)",156,5,65,41,33,12
"Desocupado (080)",49,6,36,5,2,
