"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SAN MARCOS (000)",15297,607,5072,4881,3467,1270
"Agric., ganadería, caza y silvicultura (001)",9565,480,3007,2728,2328,1022
"Pesca (002)",3,,1,2,,
"Explotación de minas y canteras (003)",37,1,23,12,1,
"Industrias manufactureras (004)",463,8,169,154,105,27
"Suministro de electricidad, gas y agua (005)",12,,3,3,6,
"Construcción (006)",388,3,154,145,75,11
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1095,28,302,401,302,62
"Venta, mant.y rep. veh.autom.y motoc. (008)",68,,32,19,16,1
"Comercio al por mayor (009)",46,2,14,20,10,
"Comercio al por menor (010)",981,26,256,362,276,61
"Hoteles y restaurantes (011)",184,5,71,59,35,14
"Trans., almac. y comunicaciones (012)",302,3,147,107,38,7
"Intermediación financiera (013)",11,,5,5,1,
"Activid.inmobil., empres. y alquileres (014)",158,2,77,60,17,2
"Admin.pub. y defensa; p. segur.soc afil (015)",189,,64,84,37,4
"Enseñanza (016)",760,,124,469,163,4
"Servicios sociales y de salud (017)",133,,41,59,33,
"Otras activ. serv.comun.soc y personales (018)",247,7,79,91,57,13
"Hogares privados con servicio doméstico (019)",322,19,168,80,41,14
"Actividad economica no especificada (021)",573,7,191,213,116,46
"Desocupado (022)",855,44,446,209,112,44
"Hombres (023)",12029,407,3862,3820,2843,1097
"Agric., ganadería, caza y silvicultura (024)",8431,343,2567,2466,2119,936
"Pesca (025)",3,,1,2,,
"Explotación de minas y canteras (026)",30,,18,11,1,
"Industrias manufactureras (027)",354,4,130,124,74,22
"Suministro de electricidad, gas y agua (028)",12,,3,3,6,
"Construcción (029)",383,3,153,142,74,11
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",647,20,184,229,178,36
"Venta, mant.y rep. veh.autom.y motoc. (031)",63,,31,16,15,1
"Comercio al por mayor (032)",25,,9,10,6,
"Comercio al por menor (033)",559,20,144,203,157,35
"Hoteles y restaurantes (034)",44,,20,14,8,2
"Trans., almac. y comunicaciones (035)",282,3,134,102,38,5
"Intermediación financiera (036)",8,,4,3,1,
"Activid.inmobil., empres. y alquileres (037)",86,,32,40,12,2
"Admin.pub. y defensa; p. segur.soc afil (038)",151,,43,72,32,4
"Enseñanza (039)",395,,60,236,96,3
"Servicios sociales y de salud (040)",45,,13,21,11,
"Otras activ. serv.comun.soc y personales (041)",169,6,55,61,37,10
