"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUAYTARA (000)",8262,5903,517,493,1349
"Empleado (001)",1008,321,205,128,354
"Obrero (002)",2261,709,207,361,984
"Trabajador independiente (003)",3444,3367,77,,
"Empleador o patrono (004)",53,38,7,3,5
"Trabajador familiar no remunerado (005)",1426,1398,21,1,6
"Trabajador del hogar (006)",70,70,,,
"De 06 a 14 años (008)",147,142,3,2,
"Empleado (009)",1,1,,,
"Obrero (010)",17,12,3,2,
"Trabajador independiente (011)",17,17,,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",105,105,,,
"Trabajador del hogar (014)",6,6,,,
"De 15 a 29 años (016)",2152,1406,167,146,433
"Empleado (017)",269,89,37,36,107
"Obrero (018)",770,245,93,110,322
"Trabajador independiente (019)",660,634,26,,
"Empleador o patrono (020)",7,6,,,1
"Trabajador familiar no remunerado (021)",423,409,11,,3
"Trabajador del hogar (022)",23,23,,,
"De 30 a 44 años (024)",2859,1741,211,248,659
"Empleado (025)",482,159,112,57,154
"Obrero (026)",981,213,76,190,502
"Trabajador independiente (027)",991,973,18,,
"Empleador o patrono (028)",14,9,3,1,1
"Trabajador familiar no remunerado (029)",371,367,2,,2
"Trabajador del hogar (030)",20,20,,,
"De 45 a 64 años (032)",2140,1680,118,95,247
"Empleado (033)",239,60,54,35,90
"Obrero (034)",417,173,33,57,154
"Trabajador independiente (035)",1088,1064,24,,
"Empleador o patrono (036)",23,15,3,2,3
"Trabajador familiar no remunerado (037)",356,351,4,1,
"Trabajador del hogar (038)",17,17,,,
"De 65 y más años (040)",964,934,18,2,10
"Empleado (041)",17,12,2,,3
"Obrero (042)",76,66,2,2,6
"Trabajador independiente (043)",688,679,9,,
"Empleador o patrono (044)",8,7,1,,
"Trabajador familiar no remunerado (045)",171,166,4,,1
"Trabajador del hogar (046)",4,4,,,
,,,,,
"URBANA (048)",2411,1732,277,110,292
"Empleado (049)",566,187,136,62,181
"Obrero (050)",509,270,84,46,109
"Trabajador independiente (051)",1002,962,40,,
"Empleador o patrono (052)",20,14,3,2,1
"Trabajador familiar no remunerado (053)",270,255,14,,1
"Trabajador del hogar (054)",44,44,,,
"De 06 a 14 años (056)",61,58,2,1,
