"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PACHITEA (000)",866,178,688
"De 14 a 29 años (001)",542,144,398
"De 30 a 44 años (002)",197,31,166
"De 45 a 64 años (003)",93,3,90
"De 65 y más años (004)",34,,34
"Hombres (005)",593,114,479
"De 14 a 29 años (006)",347,88,259
"De 30 a 44 años (007)",140,23,117
"De 45 a 64 años (008)",79,3,76
"De 65 y más años (009)",27,,27
"Mujeres (010)",273,64,209
"De 14 a 29 años (011)",195,56,139
"De 30 a 44 años (012)",57,8,49
"De 45 a 64 años (013)",14,,14
"De 65 y más años (014)",7,,7
,,,
"AREA URBANA (015)",236,56,180
"De 14 a 29 años (016)",149,48,101
"De 30 a 44 años (017)",58,8,50
"De 45 a 64 años (018)",24,,24
"De 65 y más años (019)",5,,5
"Hombres (020)",169,34,135
"De 14 a 29 años (021)",103,30,73
"De 30 a 44 años (022)",40,4,36
"De 45 a 64 años (023)",22,,22
"De 65 y más años (024)",4,,4
"Mujeres (025)",67,22,45
"De 14 a 29 años (026)",46,18,28
"De 30 a 44 años (027)",18,4,14
"De 45 a 64 años (028)",2,,2
"De 65 y más años (029)",1,,1
,,,
"AREA RURAL (030)",630,122,508
"De 14 a 29 años (031)",393,96,297
"De 30 a 44 años (032)",139,23,116
"De 45 a 64 años (033)",69,3,66
"De 65 y más años (034)",29,,29
"Hombres (035)",424,80,344
"De 14 a 29 años (036)",244,58,186
"De 30 a 44 años (037)",100,19,81
"De 45 a 64 años (038)",57,3,54
"De 65 y más años (039)",23,,23
"Mujeres (040)",206,42,164
"De 14 a 29 años (041)",149,38,111
"De 30 a 44 años (042)",39,4,35
"De 45 a 64 años (043)",12,,12
"De 65 y más años (044)",6,,6
