"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia LAURICOCHA (000)",9831,1096,1991,4447,76,1624,124,473
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",31,31,,,,,,
"Profes., científicos e intelectuales (002)",697,656,,40,,1,,
"Técnicos de nivel medio y trab. asimilados (003)",118,93,,17,3,5,,
"Jefes y empleados de oficina (004)",109,108,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",493,57,2,357,5,72,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3649,,,3588,60,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",731,,644,77,,10,,
"Obreros construc.,conf.,papel, fab., instr. (008)",362,22,233,100,5,2,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2937,75,1095,136,1,1506,124,
"Otra (010)",11,11,,,,,,
"Ocupaciñn no especificada (011)",220,43,17,132,2,26,,
"Desocupado (012)",473,,,,,,,473
"Hombres (013)",7440,759,1830,3566,65,827,15,378
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",27,27,,,,,,
"Profes., científicos e intelectuales (015)",461,428,,32,,1,,
"Técnicos de nivel medio y trab. asimilados (016)",91,70,,16,2,3,,
"Jefes y empleados de oficina (017)",81,80,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",217,36,,159,3,19,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",3141,,,3087,53,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",710,,635,67,,8,,
"Obreros construc.,conf.,papel, fab., instr. (021)",359,22,232,98,5,2,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",1886,65,955,66,1,784,15,
"Otra (023)",11,11,,,,,,
"Ocupaciñn no especificada (024)",78,20,8,41,1,8,,
"Desocupado (025)",378,,,,,,,378
"Mujeres (026)",2391,337,161,881,11,797,109,95
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",4,4,,,,,,
"Profes., científicos e intelectuales (028)",236,228,,8,,,,
"Técnicos de nivel medio y trab. asimilados (029)",27,23,,1,1,2,,
"Jefes y empleados de oficina (030)",28,28,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",276,21,2,198,2,53,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",508,,,501,7,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",21,,9,10,,2,,
"Obreros construc.,conf.,papel, fab., instr. (034)",3,,1,2,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",1051,10,140,70,,722,109,
"Ocupaciñn no especificada (037)",142,23,9,91,1,18,,
"Desocupado (038)",95,,,,,,,95
,,,,,,,,
"URBANA (039)",2301,529,212,1004,11,341,49,155
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",23,23,,,,,,
"Profes., científicos e intelectuales (041)",377,355,,22,,,,
"Técnicos de nivel medio y trab. asimilados (042)",36,27,,7,,2,,
"Jefes y empleados de oficina (043)",38,38,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",287,15,,216,4,52,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",571,,,568,3,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",69,,26,39,,4,,
"Obreros construc.,conf.,papel, fab., instr. (047)",83,5,31,45,2,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",559,34,148,63,,265,49,
"Otra (049)",11,11,,,,,,
"Ocupaciñn no especificada (050)",92,21,7,44,2,18,,
"Desocupado (051)",155,,,,,,,155
"Hombres (052)",1497,330,188,697,9,141,7,125
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",20,20,,,,,,
"Profes., científicos e intelectuales (054)",228,210,,18,,,,
"Técnicos de nivel medio y trab. asimilados (055)",24,16,,7,,1,,
"Jefes y empleados de oficina (056)",21,21,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",117,8,,93,3,13,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",460,,,457,3,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",62,,25,35,,2,,
"Obreros construc.,conf.,papel, fab., instr. (060)",83,5,31,45,2,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",302,28,126,21,,120,7,
"Otra (062)",11,11,,,,,,
"Ocupaciñn no especificada (063)",44,11,6,21,1,5,,
"Desocupado (064)",125,,,,,,,125
"Mujeres (065)",804,199,24,307,2,200,42,30
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",3,3,,,,,,
"Profes., científicos e intelectuales (067)",149,145,,4,,,,
"Técnicos de nivel medio y trab. asimilados (068)",12,11,,,,1,,
"Jefes y empleados de oficina (069)",17,17,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",170,7,,123,1,39,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",111,,,111,,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",7,,1,4,,2,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",257,6,22,42,,145,42,
"Ocupaciñn no especificada (076)",48,10,1,23,1,13,,
"Desocupado (077)",30,,,,,,,30
,,,,,,,,
"RURAL (078)",7530,567,1779,3443,65,1283,75,318
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",8,8,,,,,,
"Profes., científicos e intelectuales (080)",320,301,,18,,1,,
"Técnicos de nivel medio y trab. asimilados (081)",82,66,,10,3,3,,
"Jefes y empleados de oficina (082)",71,70,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",206,42,2,141,1,20,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",3078,,,3020,57,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",662,,618,38,,6,,
"Obreros construc.,conf.,papel, fab., instr. (086)",279,17,202,55,3,2,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",2378,41,947,73,1,1241,75,
"Ocupaciñn no especificada (089)",128,22,10,88,,8,,
"Desocupado (090)",318,,,,,,,318
"Hombres (091)",5943,429,1642,2869,56,686,8,253
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",7,7,,,,,,
"Profes., científicos e intelectuales (093)",233,218,,14,,1,,
"Técnicos de nivel medio y trab. asimilados (094)",67,54,,9,2,2,,
"Jefes y empleados de oficina (095)",60,59,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",100,28,,66,,6,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",2681,,,2630,50,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",648,,610,32,,6,,
"Obreros construc.,conf.,papel, fab., instr. (099)",276,17,201,53,3,2,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (100)",1584,37,829,45,1,664,8,
