"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia LAURICOCHA (000)",473,16,229,147,69,12
"Sin nivel (001)",34,6,12,8,7,1
"Primaria (003)",108,7,32,28,32,9
"Secundaria (004)",214,3,126,65,20,
"Superior no univ. incompleta (005)",17,,9,4,3,1
"Superior no univ. completa (006)",44,,26,16,1,1
"Superior univ. incompleta (007)",13,,6,7,,
"Superior univ. completa (008)",43,,18,19,6,
"Hombres (010)",378,7,167,130,63,11
"Sin nivel (011)",23,2,8,6,6,1
"Primaria (013)",88,4,21,27,28,8
"Secundaria (014)",181,1,101,60,19,
"Superior no univ. incompleta (015)",16,,8,4,3,1
"Superior no univ. completa (016)",27,,16,9,1,1
"Superior univ. incompleta (017)",10,,3,7,,
"Superior univ. completa (018)",33,,10,17,6,
"Mujeres (020)",95,9,62,17,6,1
"Sin nivel (021)",11,4,4,2,1,
"Primaria (023)",20,3,11,1,4,1
"Secundaria (024)",33,2,25,5,1,
"Superior no univ. incompleta (025)",1,,1,,,
"Superior no univ. completa (026)",17,,10,7,,
"Superior univ. incompleta (027)",3,,3,,,
"Superior univ. completa (028)",10,,8,2,,
,,,,,,
"Area Urbana (030)",155,4,66,46,34,5
"Sin nivel (031)",5,,,1,4,
"Primaria (033)",31,2,6,6,14,3
"Secundaria (034)",75,2,37,26,10,
"Superior no univ. incompleta (035)",5,,3,,1,1
"Superior no univ. completa (036)",12,,8,2,1,1
"Superior univ. incompleta (037)",5,,2,3,,
"Superior univ. completa (038)",22,,10,8,4,
"Hombres (040)",125,1,49,42,29,4
"Sin nivel (041)",4,,,1,3,
"Primaria (043)",23,1,3,6,11,2
"Secundaria (044)",63,,29,25,9,
"Superior no univ. incompleta (045)",5,,3,,1,1
"Superior no univ. completa (046)",10,,8,,1,1
"Superior univ. incompleta (047)",4,,1,3,,
"Superior univ. completa (048)",16,,5,7,4,
"Mujeres (050)",30,3,17,4,5,1
"Sin nivel (051)",1,,,,1,
"Primaria (053)",8,1,3,,3,1
"Secundaria (054)",12,2,8,1,1,
"Superior no univ. completa (056)",2,,,2,,
"Superior univ. incompleta (057)",1,,1,,,
"Superior univ. completa (058)",6,,5,1,,
,,,,,,
"Area Rural (060)",318,12,163,101,35,7
"Sin nivel (061)",29,6,12,7,3,1
"Primaria (063)",77,5,26,22,18,6
"Secundaria (064)",139,1,89,39,10,
"Superior no univ. incompleta (065)",12,,6,4,2,
"Superior no univ. completa (066)",32,,18,14,,
"Superior univ. incompleta (067)",8,,4,4,,
"Superior univ. completa (068)",21,,8,11,2,
"Hombres (070)",253,6,118,88,34,7
"Sin nivel (071)",19,2,8,5,3,1
"Primaria (073)",65,3,18,21,17,6
"Secundaria (074)",118,1,72,35,10,
"Superior no univ. incompleta (075)",11,,5,4,2,
"Superior no univ. completa (076)",17,,8,9,,
"Superior univ. incompleta (077)",6,,2,4,,
"Superior univ. completa (078)",17,,5,10,2,
"Mujeres (080)",65,6,45,13,1,
"Sin nivel (081)",10,4,4,2,,
"Primaria (083)",12,2,8,1,1,
"Secundaria (084)",21,,17,4,,
"Superior no univ. incompleta (085)",1,,1,,,
"Superior no univ. completa (086)",15,,10,5,,
"Superior univ. incompleta (087)",2,,2,,,
"Superior univ. completa (088)",4,,3,1,,
