"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia JAUJA (000)",1835,25,953,506,293,58
"Sin nivel (001)",43,2,6,15,14,6
"Educación inicial (002)",5,3,2,,,
"Primaria (003)",353,14,102,109,90,38
"Secundaria (004)",870,6,507,213,134,10
"Superior no univ. incompleta (005)",118,,75,36,5,2
"Superior no univ. completa (006)",250,,162,75,12,1
"Superior univ. incompleta (007)",44,,24,8,12,
"Superior univ. completa (008)",152,,75,50,26,1
"Hombres (010)",1321,12,649,355,257,48
"Sin nivel (011)",20,,4,10,4,2
"Educación inicial (012)",3,1,2,,,
"Primaria (013)",272,10,71,75,84,32
"Secundaria (014)",694,1,383,177,123,10
"Superior no univ. incompleta (015)",83,,50,26,5,2
"Superior no univ. completa (016)",132,,81,38,12,1
"Superior univ. incompleta (017)",33,,19,5,9,
"Superior univ. completa (018)",84,,39,24,20,1
"Mujeres (020)",514,13,304,151,36,10
"Sin nivel (021)",23,2,2,5,10,4
"Educación inicial (022)",2,2,,,,
"Primaria (023)",81,4,31,34,6,6
"Secundaria (024)",176,5,124,36,11,
"Superior no univ. incompleta (025)",35,,25,10,,
"Superior no univ. completa (026)",118,,81,37,,
"Superior univ. incompleta (027)",11,,5,3,3,
"Superior univ. completa (028)",68,,36,26,6,
,,,,,,
"Area Urbana (030)",1406,14,713,411,223,45
"Sin nivel (031)",27,,2,8,11,6
"Educación inicial (032)",2,1,1,,,
"Primaria (033)",228,9,60,76,57,26
"Secundaria (034)",648,4,356,172,107,9
"Superior no univ. incompleta (035)",107,,66,34,5,2
"Superior no univ. completa (036)",217,,138,69,9,1
"Superior univ. incompleta (037)",36,,21,6,9,
"Superior univ. completa (038)",141,,69,46,25,1
"Hombres (040)",976,7,465,275,192,37
"Sin nivel (041)",10,,2,4,2,2
"Educación inicial (042)",1,,1,,,
"Primaria (043)",172,7,40,50,53,22
"Secundaria (044)",503,,258,139,97,9
"Superior no univ. incompleta (045)",74,,43,24,5,2
"Superior no univ. completa (046)",113,,70,33,9,1
"Superior univ. incompleta (047)",26,,17,3,6,
"Superior univ. completa (048)",77,,34,22,20,1
"Mujeres (050)",430,7,248,136,31,8
"Sin nivel (051)",17,,,4,9,4
"Educación inicial (052)",1,1,,,,
"Primaria (053)",56,2,20,26,4,4
"Secundaria (054)",145,4,98,33,10,
"Superior no univ. incompleta (055)",33,,23,10,,
"Superior no univ. completa (056)",104,,68,36,,
"Superior univ. incompleta (057)",10,,4,3,3,
"Superior univ. completa (058)",64,,35,24,5,
,,,,,,
"Area Rural (060)",429,11,240,95,70,13
"Sin nivel (061)",16,2,4,7,3,
"Educación inicial (062)",3,2,1,,,
"Primaria (063)",125,5,42,33,33,12
"Secundaria (064)",222,2,151,41,27,1
"Superior no univ. incompleta (065)",11,,9,2,,
"Superior no univ. completa (066)",33,,24,6,3,
"Superior univ. incompleta (067)",8,,3,2,3,
"Superior univ. completa (068)",11,,6,4,1,
"Hombres (070)",345,5,184,80,65,11
"Sin nivel (071)",10,,2,6,2,
"Educación inicial (072)",2,1,1,,,
"Primaria (073)",100,3,31,25,31,10
"Secundaria (074)",191,1,125,38,26,1
"Superior no univ. incompleta (075)",9,,7,2,,
"Superior no univ. completa (076)",19,,11,5,3,
"Superior univ. incompleta (077)",7,,2,2,3,
"Superior univ. completa (078)",7,,5,2,,
"Mujeres (080)",84,6,56,15,5,2
"Sin nivel (081)",6,2,2,1,1,
"Educación inicial (082)",1,1,,,,
"Primaria (083)",25,2,11,8,2,2
"Secundaria (084)",31,1,26,3,1,
"Superior no univ. incompleta (085)",2,,2,,,
"Superior no univ. completa (086)",14,,13,1,,
"Superior univ. incompleta (087)",1,,1,,,
"Superior univ. completa (088)",4,,1,2,1,
