"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia CHEPEN (000)",28115,51,1832,888,757,3755,2360,1311,2851,12085,73,404,1748
"Agric., ganadería, caza y silvicultura (001)",11130,,21,24,11,,2355,,36,8683,,,
"Pesca (002)",38,,2,1,,,5,,,30,,,
"Explotación de minas y canteras (003)",23,,2,2,2,,,9,5,3,,,
"Industrias manufactureras (004)",1126,,16,43,33,63,,843,68,60,,,
"Suministro de electricidad, gas y agua (005)",52,,2,11,10,,,17,7,5,,,
"Construcción (006)",1215,1,19,24,2,,,47,815,307,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",4924,2,30,140,44,3015,,362,39,1292,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",418,,2,17,7,89,,269,27,7,,,
"Comercio al por mayor (009)",253,2,5,19,6,208,,,4,9,,,
"Comercio al por menor (010)",4253,,23,104,31,2718,,93,8,1276,,,
"Hoteles y restaurantes (011)",977,,9,56,29,442,,1,2,438,,,
"Trans., almac. y comunicaciones (012)",2238,2,11,47,67,1,,11,1831,268,,,
"Intermediación financiera (013)",120,,10,21,83,,,,1,5,,,
"Activid.inmobil., empres. y alquileres (014)",646,,107,174,129,114,,7,24,91,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",479,15,46,31,189,10,,6,15,94,73,,
"Enseñanza (016)",1495,31,1379,11,51,,,,,23,,,
"Servicios sociales y de salud (017)",366,,126,160,53,8,,3,5,11,,,
"Otras activ. serv.comun.soc y personales (018)",518,,52,141,44,102,,5,3,171,,,
"Hogares privados con servicio doméstico (019)",602,,,1,,,,,,601,,,
"Actividad economica no especificada (021)",418,,,1,10,,,,,3,,404,
"Desocupado (022)",1748,,,,,,,,,,,,1748
"Hombres (023)",20093,34,802,577,355,1856,2225,1124,2802,8809,71,134,1304
"Agric., ganadería, caza y silvicultura (024)",9420,,19,22,9,,2220,,36,7114,,,
"Pesca (025)",36,,1,,,,5,,,30,,,
"Explotación de minas y canteras (026)",22,,1,2,2,,,9,5,3,,,
"Industrias manufactureras (027)",890,,12,35,23,48,,669,49,54,,,
"Suministro de electricidad, gas y agua (028)",45,,2,11,6,,,16,7,3,,,
"Construcción (029)",1181,1,19,24,2,,,47,798,290,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",2708,1,18,91,18,1483,,356,39,702,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",384,,1,15,2,66,,266,27,7,,,
"Comercio al por mayor (032)",166,1,3,13,3,133,,,4,9,,,
"Comercio al por menor (033)",2158,,14,63,13,1284,,90,8,686,,,
"Hoteles y restaurantes (034)",316,,7,33,15,149,,,2,110,,,
"Trans., almac. y comunicaciones (035)",2128,2,8,29,27,1,,9,1824,228,,,
"Intermediación financiera (036)",71,,8,10,48,,,,,5,,,
"Activid.inmobil., empres. y alquileres (037)",474,,82,127,52,111,,6,22,74,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",318,11,27,21,93,10,,5,12,68,71,,
"Enseñanza (039)",562,19,506,6,17,,,,,14,,,
"Servicios sociales y de salud (040)",148,,51,51,27,2,,3,5,9,,,
"Otras activ. serv.comun.soc y personales (041)",315,,41,113,14,52,,4,3,88,,,
"Hogares privados con servicio doméstico (042)",16,,,1,,,,,,15,,,
"Actividad economica no especificada (044)",139,,,1,2,,,,,2,,134,
"Desocupado (045)",1304,,,,,,,,,,,,1304
"Mujeres (046)",8022,17,1030,311,402,1899,135,187,49,3276,2,270,444
"Agric., ganadería, caza y silvicultura (047)",1710,,2,2,2,,135,,,1569,,,
"Pesca (048)",2,,1,1,,,,,,,,,
"Explotación de minas y canteras (049)",1,,1,,,,,,,,,,
"Industrias manufactureras (050)",236,,4,8,10,15,,174,19,6,,,
"Suministro de electricidad, gas y agua (051)",7,,,,4,,,1,,2,,,
"Construcción (052)",34,,,,,,,,17,17,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",2216,1,12,49,26,1532,,6,,590,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",34,,1,2,5,23,,3,,,,,
"Comercio al por mayor (055)",87,1,2,6,3,75,,,,,,,
"Comercio al por menor (056)",2095,,9,41,18,1434,,3,,590,,,
"Hoteles y restaurantes (057)",661,,2,23,14,293,,1,,328,,,
"Trans., almac. y comunicaciones (058)",110,,3,18,40,,,2,7,40,,,
"Intermediación financiera (059)",49,,2,11,35,,,,1,,,,
"Activid.inmobil., empres. y alquileres (060)",172,,25,47,77,3,,1,2,17,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",161,4,19,10,96,,,1,3,26,2,,
"Enseñanza (062)",933,12,873,5,34,,,,,9,,,
"Servicios sociales y de salud (063)",218,,75,109,26,6,,,,2,,,
"Otras activ. serv.comun.soc y personales (064)",203,,11,28,30,50,,1,,83,,,
"Hogares privados con servicio doméstico (065)",586,,,,,,,,,586,,,
"Actividad economica no especificada (067)",279,,,,8,,,,,1,,270,
"Desocupado (068)",444,,,,,,,,,,,,444
,,,,,,,,,,,,,
"URBANA (069)",23486,51,1772,851,736,3641,1501,1248,2637,9194,73,371,1411
"Agric., ganadería, caza y silvicultura (070)",7577,,19,18,10,,1496,,32,6002,,,
"Pesca (071)",34,,2,1,,,5,,,26,,,
"Explotación de minas y canteras (072)",22,,2,2,2,,,9,4,3,,,
"Industrias manufactureras (073)",1066,,15,40,32,61,,804,62,52,,,
"Suministro de electricidad, gas y agua (074)",51,,2,11,9,,,17,7,5,,,
"Construcción (075)",1094,1,19,23,2,,,44,767,238,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",4770,2,30,133,42,2937,,344,39,1243,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",398,,2,15,7,88,,252,27,7,,,
"Comercio al por mayor (078)",246,2,5,19,5,202,,,4,9,,,
"Comercio al por menor (079)",4126,,23,99,30,2647,,92,8,1227,,,
"Hoteles y restaurantes (080)",951,,9,55,29,425,,1,2,430,,,
"Trans., almac. y comunicaciones (081)",2070,2,11,47,66,1,,10,1678,255,,,
"Intermediación financiera (082)",119,,10,21,82,,,,1,5,,,
"Activid.inmobil., empres. y alquileres (083)",610,,104,171,124,99,,7,22,83,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",466,15,45,28,183,10,,6,15,91,73,,
"Enseñanza (085)",1444,31,1331,11,48,,,,,23,,,
"Servicios sociales y de salud (086)",353,,123,150,53,8,,3,5,11,,,
"Otras activ. serv.comun.soc y personales (087)",498,,50,138,44,100,,3,3,160,,,
"Hogares privados con servicio doméstico (088)",567,,,1,,,,,,566,,,
"Actividad economica no especificada (090)",383,,,1,10,,,,,1,,371,
"Desocupado (091)",1411,,,,,,,,,,,,1411
"Hombres (092)",16197,34,776,555,342,1793,1416,1069,2590,6419,71,120,1012
"Agric., ganadería, caza y silvicultura (093)",6340,,17,16,8,,1411,,32,4856,,,
"Pesca (094)",32,,1,,,,5,,,26,,,
"Explotación de minas y canteras (095)",21,,1,2,2,,,9,4,3,,,
"Industrias manufactureras (096)",838,,11,32,22,47,,636,44,46,,,
"Suministro de electricidad, gas y agua (097)",44,,2,11,5,,,16,7,3,,,
"Construcción (098)",1071,1,19,23,2,,,44,751,231,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",2620,1,18,87,18,1442,,339,39,676,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",365,,1,14,2,65,,249,27,7,,,
"Comercio al por mayor (101)",161,1,3,13,3,128,,,4,9,,,
"Comercio al por menor (102)",2094,,14,60,13,1249,,90,8,660,,,
"Hoteles y restaurantes (103)",307,,7,32,15,144,,,2,107,,,
"Trans., almac. y comunicaciones (104)",1963,2,8,29,26,1,,8,1671,218,,,
"Intermediación financiera (105)",71,,8,10,48,,,,,5,,,
"Activid.inmobil., empres. y alquileres (106)",443,,80,125,50,96,,6,20,66,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",310,11,27,21,88,10,,5,12,65,71,,
"Enseñanza (108)",542,19,488,6,15,,,,,14,,,
"Servicios sociales y de salud (109)",143,,50,47,27,2,,3,5,9,,,
"Otras activ. serv.comun.soc y personales (110)",300,,39,112,14,51,,3,3,78,,,
"Hogares privados con servicio doméstico (111)",16,,,1,,,,,,15,,,
"Actividad economica no especificada (113)",124,,,1,2,,,,,1,,120,
"Desocupado (114)",1012,,,,,,,,,,,,1012
"Mujeres (115)",7289,17,996,296,394,1848,85,179,47,2775,2,251,399
"Agric., ganadería, caza y silvicultura (116)",1237,,2,2,2,,85,,,1146,,,
"Pesca (117)",2,,1,1,,,,,,,,,
"Explotación de minas y canteras (118)",1,,1,,,,,,,,,,
"Industrias manufactureras (119)",228,,4,8,10,14,,168,18,6,,,
"Suministro de electricidad, gas y agua (120)",7,,,,4,,,1,,2,,,
"Construcción (121)",23,,,,,,,,16,7,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",2150,1,12,46,24,1495,,5,,567,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",33,,1,1,5,23,,3,,,,,
"Comercio al por mayor (124)",85,1,2,6,2,74,,,,,,,
"Comercio al por menor (125)",2032,,9,39,17,1398,,2,,567,,,
"Hoteles y restaurantes (126)",644,,2,23,14,281,,1,,323,,,
"Trans., almac. y comunicaciones (127)",107,,3,18,40,,,2,7,37,,,
"Intermediación financiera (128)",48,,2,11,34,,,,1,,,,
"Activid.inmobil., empres. y alquileres (129)",167,,24,46,74,3,,1,2,17,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",156,4,18,7,95,,,1,3,26,2,,
"Enseñanza (131)",902,12,843,5,33,,,,,9,,,
"Servicios sociales y de salud (132)",210,,73,103,26,6,,,,2,,,
"Otras activ. serv.comun.soc y personales (133)",198,,11,26,30,49,,,,82,,,
"Hogares privados con servicio doméstico (134)",551,,,,,,,,,551,,,
"Actividad economica no especificada (136)",259,,,,8,,,,,,,251,
"Desocupado (137)",399,,,,,,,,,,,,399
,,,,,,,,,,,,,
"RURAL (138)",4629,,60,37,21,114,859,63,214,2891,,33,337
"Agric., ganadería, caza y silvicultura (139)",3553,,2,6,1,,859,,4,2681,,,
"Pesca (140)",4,,,,,,,,,4,,,
