"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia BARRANCA (000)",50480,32457,5848,4988,7187
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",99,9,21,24,45
"Profes., científicos e intelectuales (002)",4108,951,511,1011,1635
"Técnicos de nivel medio y trab. asimilados (003)",2188,1050,232,325,581
"Jefes y empleados de oficina (004)",1860,500,232,329,799
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",9315,8230,627,254,204
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4037,3243,644,108,42
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",4133,2461,444,456,772
"Obreros construc.,conf.,papel, fab., instr. (008)",6378,4954,558,463,403
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",17378,10494,2509,1958,2417
"Otra (010)",227,,,,227
"Ocupación no especificada (011)",757,565,70,60,62
"Hombres (012)",33833,21184,4342,3451,4856
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",58,6,11,14,27
"Profes., científicos e intelectuales (014)",1996,551,228,433,784
"Técnicos de nivel medio y trab. asimilados (015)",1455,741,166,235,313
"Jefes y empleados de oficina (016)",914,225,99,163,427
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",3921,3215,354,191,161
"Agricult.trabaj.calif.agrop.y pesqueros (018)",3573,2873,565,101,34
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",3584,2134,420,387,643
"Obreros construc.,conf.,papel, fab., instr. (020)",6271,4874,552,456,389
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",11492,6331,1912,1435,1814
"Otra (022)",216,,,,216
"Ocupación no especificada (023)",353,234,35,36,48
"Mujeres (024)",16647,11273,1506,1537,2331
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",41,3,10,10,18
"Profes., científicos e intelectuales (026)",2112,400,283,578,851
"Técnicos de nivel medio y trab. asimilados (027)",733,309,66,90,268
"Jefes y empleados de oficina (028)",946,275,133,166,372
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",5394,5015,273,63,43
"Agricult.trabaj.calif.agrop.y pesqueros (030)",464,370,79,7,8
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",549,327,24,69,129
"Obreros construc.,conf.,papel, fab., instr. (032)",107,80,6,7,14
