"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUAROCHIRI (000)",32612,23053,2656,2804,4099
"Agric., ganadería, caza y silvicultura (001)",11810,11302,401,100,7
"Pesca (002)",16,9,3,3,1
"Explotación de minas y canteras (003)",3931,693,554,1141,1543
"Industrias manufactureras (004)",1441,818,183,167,273
"Suministro de electricidad, gas y agua (005)",92,10,4,42,36
"Construcción (006)",1712,996,343,237,136
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3758,3389,232,93,44
"Venta, mant.y rep. veh.autom y motoc. (008)",504,371,68,35,30
"Comercio al por mayor (009)",146,111,10,11,14
"Comercio al por menor (010)",3108,2907,154,47,
"Hoteles y restaurantes (011)",1403,1107,200,68,28
"Trans., almac. y comunicaciones (012)",2135,1663,137,165,170
"Intermediación financiera (013)",35,10,3,5,17
"Activid.inmobil., empres. y alquileres (014)",871,397,128,182,164
"Admin.pub. y defensa; p. segur soc.afil (015)",876,,,,876
"Enseñanza (016)",1330,266,218,397,449
"Servicios sociales y de salud (017)",400,132,25,14,229
"Otras activ. serv.comun.soc y personales (018)",1186,852,149,112,73
"Hogares privados con servicio doméstico (019)",812,812,,,
"Actividad economica no especificada (021)",804,597,76,78,53
"Hombres (022)",22181,14658,2056,2360,3107
"Agric., ganadería, caza y silvicultura (023)",8225,7825,306,88,6
"Pesca (024)",12,5,3,3,1
"Explotación de minas y canteras (025)",3874,681,545,1135,1513
"Industrias manufactureras (026)",1008,568,131,123,186
"Suministro de electricidad, gas y agua (027)",89,10,4,40,35
"Construcción (028)",1680,982,336,233,129
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1719,1458,151,75,35
"Venta, mant.y rep. veh.autom y motoc. (030)",466,345,58,34,29
"Comercio al por mayor (031)",76,52,7,11,6
"Comercio al por menor (032)",1177,1061,86,30,
"Hoteles y restaurantes (033)",415,281,82,39,13
"Trans., almac. y comunicaciones (034)",2025,1586,131,148,160
"Intermediación financiera (035)",26,8,2,1,15
"Activid.inmobil., empres. y alquileres (036)",632,286,107,126,113
"Admin.pub. y defensa; p. segur soc.afil (037)",570,,,,570
"Enseñanza (038)",532,76,83,187,186
"Servicios sociales y de salud (039)",124,55,7,6,56
"Otras activ. serv.comun.soc y personales (040)",803,542,114,95,52
