"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia TAMBOPATA (000)",970,224,746
"Sin nivel (001)",21,3,18
"Educación inicial (002)",4,1,3
"Primaria (003)",181,37,144
"Secundaria (004)",457,122,335
"Superior no univ. incompleta (005)",92,25,67
"Superior no univ. completa (006)",74,9,65
"Superior univ. incompleta (007)",85,17,68
"Superior univ. completa (008)",56,10,46
"Hombres (010)",607,123,484
"Sin nivel (011)",9,1,8
"Educación inicial (012)",2,,2
"Primaria (013)",112,22,90
"Secundaria (014)",299,71,228
"Superior no univ. incompleta (015)",54,11,43
"Superior no univ. completa (016)",38,4,34
"Superior univ. incompleta (017)",57,9,48
"Superior univ. completa (018)",36,5,31
"Mujeres (020)",363,101,262
"Sin nivel (021)",12,2,10
"Educación inicial (022)",2,1,1
"Primaria (023)",69,15,54
"Secundaria (024)",158,51,107
"Superior no univ. incompleta (025)",38,14,24
"Superior no univ. completa (026)",36,5,31
"Superior univ. incompleta (027)",28,8,20
"Superior univ. completa (028)",20,5,15
,,,
"AREA URBANA (030)",880,208,672
"Sin nivel (031)",14,3,11
"Educación inicial (032)",4,1,3
"Primaria (033)",161,33,128
"Secundaria (034)",408,111,297
"Superior no univ. incompleta (035)",88,25,63
"Superior no univ. completa (036)",71,9,62
"Superior univ. incompleta (037)",79,16,63
"Superior univ. completa (038)",55,10,45
"Hombres (040)",543,110,433
"Sin nivel (041)",4,1,3
"Educación inicial (042)",2,,2
"Primaria (043)",98,18,80
"Secundaria (044)",265,63,202
"Superior no univ. incompleta (045)",52,11,41
"Superior no univ. completa (046)",36,4,32
"Superior univ. incompleta (047)",51,8,43
"Superior univ. completa (048)",35,5,30
"Mujeres (050)",337,98,239
"Sin nivel (051)",10,2,8
"Educación inicial (052)",2,1,1
"Primaria (053)",63,15,48
"Secundaria (054)",143,48,95
"Superior no univ. incompleta (055)",36,14,22
"Superior no univ. completa (056)",35,5,30
"Superior univ. incompleta (057)",28,8,20
"Superior univ. completa (058)",20,5,15
,,,
"AREA RURAL (060)",90,16,74
"Sin nivel (061)",7,,7
"Primaria (063)",20,4,16
"Secundaria (064)",49,11,38
"Superior no univ. incompleta (065)",4,,4
"Superior no univ. completa (066)",3,,3
"Superior univ. incompleta (067)",6,1,5
"Superior univ. completa (068)",1,,1
"Hombres (070)",64,13,51
"Sin nivel (071)",5,,5
"Primaria (073)",14,4,10
"Secundaria (074)",34,8,26
"Superior no univ. incompleta (075)",2,,2
"Superior no univ. completa (076)",2,,2
"Superior univ. incompleta (077)",6,1,5
"Superior univ. completa (078)",1,,1
"Mujeres (080)",26,3,23
"Sin nivel (081)",2,,2
"Primaria (083)",6,,6
"Secundaria (084)",15,3,12
"Superior no univ. incompleta (085)",2,,2
"Superior no univ. completa (086)",1,,1
