"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia MARISCAL NIETO (000)",31444,9814,8614,10027,487,2003,499
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",65,59,,,6,,
"Profes., científicos e intelectuales (002)",3833,3452,,327,46,8,
"Técnicos de nivel medio y trab. asimilados (003)",2031,1593,,320,91,26,1
"Jefes y empleados de oficina (004)",1931,1916,,10,,5,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4022,962,71,2523,119,342,5
"Agricult.trabaj. calif.agrop. y pesqueros (006)",3590,7,8,3456,118,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1886,,1102,711,50,23,
"Obreros construc.,conf., papel, fab., instr. (008)",3280,371,1723,1135,35,16,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",9051,712,5065,1272,9,1500,493
"Otra (010)",457,457,,,,,
"Ocupación no especificada (011)",1298,285,645,273,13,82,
"Hombres (012)",19347,5534,7030,5775,299,682,27
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",43,40,,,3,,
"Profes., científicos e intelectuales (014)",1926,1711,,178,34,3,
"Técnicos de nivel medio y trab. asimilados (015)",1357,1066,,223,55,13,
"Jefes y empleados de oficina (016)",891,885,,3,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1410,550,21,723,35,81,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",2548,6,6,2449,86,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1713,,1078,574,42,19,
"Obreros construc.,conf., papel, fab., instr. (020)",3189,366,1681,1093,33,16,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",5003,318,3741,388,4,525,27
"Otra (022)",433,433,,,,,
"Ocupación no especificada (023)",834,159,503,144,7,21,
"Mujeres (024)",12097,4280,1584,4252,188,1321,472
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",22,19,,,3,,
"Profes., científicos e intelectuales (026)",1907,1741,,149,12,5,
"Técnicos de nivel medio y trab. asimilados (027)",674,527,,97,36,13,1
"Jefes y empleados de oficina (028)",1040,1031,,7,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2612,412,50,1800,84,261,5
"Agricult.trabaj. calif.agrop. y pesqueros (030)",1042,1,2,1007,32,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",173,,24,137,8,4,
"Obreros construc.,conf., papel, fab., instr. (032)",91,5,42,42,2,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",4048,394,1324,884,5,975,466
"Otra (034)",24,24,,,,,
"Ocupación no especificada (035)",464,126,142,129,6,61,
,,,,,,,
"URBANA (036)",26149,9222,6629,8018,439,1357,484
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",61,55,,,6,,
"Profes., científicos e intelectuales (038)",3636,3282,,301,45,8,
"Técnicos de nivel medio y trab. asimilados (039)",1888,1460,,313,89,25,1
"Jefes y empleados de oficina (040)",1808,1793,,10,,5,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",3829,886,52,2438,116,332,5
"Agricult.trabaj. calif.agrop. y pesqueros (042)",1829,7,3,1740,78,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",1693,,943,679,49,22,
"Obreros construc.,conf., papel, fab., instr. (044)",2895,343,1423,1079,35,15,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",6967,681,3693,1232,8,875,478
"Otra (046)",445,445,,,,,
"Ocupación no especificada (047)",1098,270,515,226,13,74,
"Hombres (048)",15697,5110,5434,4396,261,472,24
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",41,38,,,3,,
"Profes., científicos e intelectuales (050)",1812,1614,,162,33,3,
"Técnicos de nivel medio y trab. asimilados (051)",1233,949,,218,54,12,
"Jefes y empleados de oficina (052)",830,824,,3,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",1299,482,15,690,34,78,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",1309,6,2,1247,53,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",1528,,919,549,41,19,
"Obreros construc.,conf., papel, fab., instr. (056)",2811,338,1387,1038,33,15,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",3718,292,2707,370,3,322,24
"Otra (058)",421,421,,,,,
"Ocupación no especificada (059)",695,146,404,119,7,19,
"Mujeres (060)",10452,4112,1195,3622,178,885,460
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",20,17,,,3,,
"Profes., científicos e intelectuales (062)",1824,1668,,139,12,5,
"Técnicos de nivel medio y trab. asimilados (063)",655,511,,95,35,13,1
"Jefes y empleados de oficina (064)",978,969,,7,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",2530,404,37,1748,82,254,5
"Agricult.trabaj. calif.agrop. y pesqueros (066)",520,1,1,493,25,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",165,,24,130,8,3,
"Obreros construc.,conf., papel, fab., instr. (068)",84,5,36,41,2,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",3249,389,986,862,5,553,454
"Otra (070)",24,24,,,,,
"Ocupación no especificada (071)",403,124,111,107,6,55,
,,,,,,,
"RURAL (072)",5295,592,1985,2009,48,646,15
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",4,4,,,,,
"Profes., científicos e intelectuales (074)",197,170,,26,1,,
"Técnicos de nivel medio y trab. asimilados (075)",143,133,,7,2,1,
"Jefes y empleados de oficina (076)",123,123,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",193,76,19,85,3,10,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",1761,,5,1716,40,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",193,,159,32,1,1,
"Obreros construc.,conf., papel, fab., instr. (080)",385,28,300,56,,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",2084,31,1372,40,1,625,15
"Otra (082)",12,12,,,,,
"Ocupación no especificada (083)",200,15,130,47,,8,
"Hombres (084)",3650,424,1596,1379,38,210,3
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",2,2,,,,,
"Profes., científicos e intelectuales (086)",114,97,,16,1,,
"Técnicos de nivel medio y trab. asimilados (087)",124,117,,5,1,1,
"Jefes y empleados de oficina (088)",61,61,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",111,68,6,33,1,3,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",1239,,4,1202,33,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",185,,159,25,1,,
"Obreros construc.,conf., papel, fab., instr. (092)",378,28,294,55,,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",1285,26,1034,18,1,203,3
"Otra (094)",12,12,,,,,
"Ocupación no especificada (095)",139,13,99,25,,2,
