"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ILO (000)",57224,10423,16749,15232,11269,3551
"Sin nivel (001)",1332,112,84,202,469,465
"Educación inicial (002)",796,747,26,23,,
"Primaria (003)",12799,6964,582,1226,2467,1560
"Secundaria (004)",20296,2600,7994,5181,3776,745
"Superior no univ. incompleta (005)",4812,,2444,1543,719,106
"Superior no univ. completa (006)",7419,,2378,3274,1510,257
"Superior univ. incompleta (007)",3711,,1878,1064,665,104
"Superior univ. completa (008)",6059,,1363,2719,1663,314
"PEA (010)",28096,161,8356,11192,7511,876
"Sin nivel (011)",432,1,27,112,192,100
"Educación inicial (012)",20,5,6,9,,
"Primaria (013)",2883,70,270,736,1439,368
"Secundaria (014)",10014,85,3424,3700,2599,206
"Superior no univ. incompleta (015)",2862,,1210,1127,493,32
"Superior no univ. completa (016)",5283,,1724,2473,1025,61
"Superior univ. incompleta (017)",2028,,686,797,512,33
"Superior univ. completa (018)",4574,,1009,2238,1251,76
"Ocupada (020)",26126,155,7411,10552,7168,840
"Sin nivel (021)",410,,24,107,180,99
"Educación inicial (022)",19,4,6,9,,
"Primaria (023)",2685,70,243,674,1349,349
"Secundaria (024)",9247,81,3044,3456,2470,196
"Superior no univ. incompleta (025)",2625,,1067,1058,468,32
"Superior no univ. completa (026)",4933,,1533,2358,983,59
"Superior univ. incompleta (027)",1878,,597,750,498,33
"Superior univ. completa (028)",4329,,897,2140,1220,72
"Desocupada (030)",1970,6,945,640,343,36
