"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PIURA (000)",239839,3307,82923,86397,57744,9468
"Empleado (001)",67601,347,23876,26930,15589,859
"Obrero (002)",45052,564,18391,15960,8756,1381
"Trabajador independiente (003)",88942,708,22828,33057,26544,5805
"Empleador o patrono (004)",4657,2,936,1609,1667,443
"Trabajador familiar no remunerado (005)",12086,1200,5622,2920,1842,502
"Trabajador del hogar (006)",7800,192,4150,2213,1138,107
"Desocupado (008)",13701,294,7120,3708,2208,371
"Hombres (009)",163456,2398,55937,57256,40274,7591
"Empleado (010)",37611,238,12386,14650,9673,664
"Obrero (011)",39734,461,16284,13867,7829,1293
"Trabajador independiente (012)",64947,575,17457,23368,18908,4639
"Empleador o patrono (013)",3467,2,673,1167,1244,381
"Trabajador familiar no remunerado (014)",7613,909,4294,1385,754,271
"Trabajador del hogar (015)",241,9,138,60,28,6
"Desocupado (017)",9843,204,4705,2759,1838,337
"Mujeres (018)",76383,909,26986,29141,17470,1877
"Empleado (019)",29990,109,11490,12280,5916,195
"Obrero (020)",5318,103,2107,2093,927,88
"Trabajador independiente (021)",23995,133,5371,9689,7636,1166
"Empleador o patrono (022)",1190,,263,442,423,62
"Trabajador familiar no remunerado (023)",4473,291,1328,1535,1088,231
"Trabajador del hogar (024)",7559,183,4012,2153,1110,101
"Desocupado (026)",3858,90,2415,949,370,34
,,,,,,
"URBANA (027)",210218,2617,71503,77134,51441,7523
"Empleado (028)",66623,342,23470,26561,15403,847
"Obrero (029)",31864,369,12634,11571,6383,907
"Trabajador independiente (030)",78982,642,20478,29670,23549,4643
"Empleador o patrono (031)",4022,2,848,1461,1400,311
"Trabajador familiar no remunerado (032)",8990,883,3841,2343,1539,384
"Trabajador del hogar (033)",7470,178,3884,2178,1125,105
"Desocupado (035)",12267,201,6348,3350,2042,326
"Hombres (036)",136905,1809,45905,48916,34509,5766
"Empleado (037)",37010,234,12159,14419,9545,653
"Obrero (038)",27137,286,10813,9665,5538,835
"Trabajador independiente (039)",55995,516,15407,20360,16172,3540
"Empleador o patrono (040)",2866,2,598,1023,991,252
"Trabajador familiar no remunerado (041)",5067,635,2728,965,553,186
"Trabajador del hogar (042)",229,9,128,59,27,6
"Desocupado (044)",8601,127,4072,2425,1683,294
"Mujeres (045)",73313,808,25598,28218,16932,1757
"Empleado (046)",29613,108,11311,12142,5858,194
"Obrero (047)",4727,83,1821,1906,845,72
"Trabajador independiente (048)",22987,126,5071,9310,7377,1103
"Empleador o patrono (049)",1156,,250,438,409,59
"Trabajador familiar no remunerado (050)",3923,248,1113,1378,986,198
"Trabajador del hogar (051)",7241,169,3756,2119,1098,99
"Desocupado (053)",3666,74,2276,925,359,32
,,,,,,
"RURAL (054)",29621,690,11420,9263,6303,1945
"Empleado (055)",978,5,406,369,186,12
"Obrero (056)",13188,195,5757,4389,2373,474
"Trabajador independiente (057)",9960,66,2350,3387,2995,1162
"Empleador o patrono (058)",635,,88,148,267,132
"Trabajador familiar no remunerado (059)",3096,317,1781,577,303,118
"Trabajador del hogar (060)",330,14,266,35,13,2
"Desocupado (062)",1434,93,772,358,166,45
"Hombres (063)",26551,589,10032,8340,5765,1825
"Empleado (064)",601,4,227,231,128,11
"Obrero (065)",12597,175,5471,4202,2291,458
"Trabajador independiente (066)",8952,59,2050,3008,2736,1099
"Empleador o patrono (067)",601,,75,144,253,129
"Trabajador familiar no remunerado (068)",2546,274,1566,420,201,85
"Trabajador del hogar (069)",12,,10,1,1,
"Desocupado (071)",1242,77,633,334,155,43
"Mujeres (072)",3070,101,1388,923,538,120
"Empleado (073)",377,1,179,138,58,1
"Obrero (074)",591,20,286,187,82,16
"Trabajador independiente (075)",1008,7,300,379,259,63
"Empleador o patrono (076)",34,,13,4,14,3
"Trabajador familiar no remunerado (077)",550,43,215,157,102,33
"Trabajador del hogar (078)",318,14,256,34,12,2
"Desocupado (080)",192,16,139,24,11,2
