"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia MORROPON (000)",140818,32844,38632,29634,26040,13668
"Hombres (001)",71395,16811,19839,14361,13226,7158
"Mujeres (002)",69423,16033,18793,15273,12814,6510
"PEA (003)",51202,894,15742,16396,13899,4271
"Hombres (004)",40053,668,12284,12439,10985,3677
"Mujeres (005)",11149,226,3458,3957,2914,594
"Ocupada (006)",47136,778,13887,15363,13052,4056
"Hombres (007)",36566,575,10806,11514,10199,3472
"Mujeres (008)",10570,203,3081,3849,2853,584
"Desocupada (009)",4066,116,1855,1033,847,215
"Hombres (010)",3487,93,1478,925,786,205
"Mujeres (011)",579,23,377,108,61,10
"No PEA (012)",89616,31950,22890,13238,12141,9397
"Hombres (013)",31342,16143,7555,1922,2241,3481
"Mujeres (014)",58274,15807,15335,11316,9900,5916
,,,,,,
"URBANA (018)",81700,17733,22905,17907,15386,7769
"Hombres (019)",40789,9015,11447,8475,7770,4082
"Mujeres (020)",40911,8718,11458,9432,7616,3687
"PEA (021)",31280,432,9448,10509,8623,2268
"Hombres (022)",22740,322,6873,7338,6342,1865
"Mujeres (023)",8540,110,2575,3171,2281,403
"Ocupada (024)",28918,369,8365,9916,8128,2140
"Hombres (025)",20800,272,6055,6830,5897,1746
"Mujeres (026)",8118,97,2310,3086,2231,394
"Desocupada (027)",2362,63,1083,593,495,128
"Hombres (028)",1940,50,818,508,445,119
"Mujeres (029)",422,13,265,85,50,9
"No PEA (030)",50420,17301,13457,7398,6763,5501
"Hombres (031)",18049,8693,4574,1137,1428,2217
"Mujeres (032)",32371,8608,8883,6261,5335,3284
,,,,,,
"RURAL (036)",59118,15111,15727,11727,10654,5899
"Hombres (037)",30606,7796,8392,5886,5456,3076
"Mujeres (038)",28512,7315,7335,5841,5198,2823
"PEA (039)",19922,462,6294,5887,5276,2003
"Hombres (040)",17313,346,5411,5101,4643,1812
"Mujeres (041)",2609,116,883,786,633,191
"Ocupada (042)",18218,409,5522,5447,4924,1916
"Hombres (043)",15766,303,4751,4684,4302,1726
"Mujeres (044)",2452,106,771,763,622,190
"Desocupada (045)",1704,53,772,440,352,87
"Hombres (046)",1547,43,660,417,341,86
"Mujeres (047)",157,10,112,23,11,1
"No PEA (048)",39196,14649,9433,5840,5378,3896
"Hombres (049)",13293,7450,2981,785,813,1264
"Mujeres (050)",25903,7199,6452,5055,4565,2632
