"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia TALARA (000)",3598,674,2924
"Sin nivel (001)",66,13,53
"Educación inicial (002)",2,1,1
"Primaria (003)",644,77,567
"Secundaria (004)",1603,343,1260
"Superior no univ. incompleta (005)",295,59,236
"Superior no univ. completa (006)",511,85,426
"Superior univ. incompleta (007)",179,45,134
"Superior univ. completa (008)",298,51,247
"Hombres (010)",2678,417,2261
"Sin nivel (011)",50,6,44
"Educación inicial (012)",2,1,1
"Primaria (013)",491,49,442
"Secundaria (014)",1268,240,1028
"Superior no univ. incompleta (015)",205,29,176
"Superior no univ. completa (016)",336,44,292
"Superior univ. incompleta (017)",119,25,94
"Superior univ. completa (018)",207,23,184
"Mujeres (020)",920,257,663
"Sin nivel (021)",16,7,9
"Primaria (023)",153,28,125
"Secundaria (024)",335,103,232
"Superior no univ. incompleta (025)",90,30,60
"Superior no univ. completa (026)",175,41,134
"Superior univ. incompleta (027)",60,20,40
"Superior univ. completa (028)",91,28,63
,,,
"AREA URBANA (030)",3553,668,2885
"Sin nivel (031)",64,12,52
"Educación inicial (032)",2,1,1
"Primaria (033)",616,74,542
"Secundaria (034)",1591,341,1250
"Superior no univ. incompleta (035)",295,59,236
"Superior no univ. completa (036)",509,85,424
"Superior univ. incompleta (037)",179,45,134
"Superior univ. completa (038)",297,51,246
"Hombres (040)",2639,412,2227
"Sin nivel (041)",48,5,43
"Educación inicial (042)",2,1,1
"Primaria (043)",467,47,420
"Secundaria (044)",1257,238,1019
"Superior no univ. incompleta (045)",205,29,176
"Superior no univ. completa (046)",335,44,291
"Superior univ. incompleta (047)",119,25,94
"Superior univ. completa (048)",206,23,183
"Mujeres (050)",914,256,658
"Sin nivel (051)",16,7,9
"Primaria (053)",149,27,122
"Secundaria (054)",334,103,231
"Superior no univ. incompleta (055)",90,30,60
"Superior no univ. completa (056)",174,41,133
"Superior univ. incompleta (057)",60,20,40
"Superior univ. completa (058)",91,28,63
,,,
"AREA RURAL (060)",45,6,39
"Sin nivel (061)",2,1,1
"Primaria (063)",28,3,25
"Secundaria (064)",12,2,10
"Superior no univ. completa (066)",2,,2
"Superior univ. completa (068)",1,,1
"Hombres (070)",39,5,34
"Sin nivel (071)",2,1,1
"Primaria (073)",24,2,22
"Secundaria (074)",11,2,9
"Superior no univ. completa (076)",1,,1
"Superior univ. completa (078)",1,,1
"Mujeres (080)",6,1,5
"Primaria (083)",4,1,3
"Secundaria (084)",1,,1
"Superior no univ. completa (086)",1,,1
