"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia LAMPA (000)",2014,903,1111
"Sin nivel (001)",45,7,38
"Primaria (003)",569,198,371
"Secundaria (004)",1025,518,507
"Superior no univ. incompleta (005)",93,48,45
"Superior no univ. completa (006)",177,93,84
"Superior univ. incompleta (007)",39,12,27
"Superior univ. completa (008)",66,27,39
"De 14 a 29 años (010)",1043,628,415
"Sin nivel (011)",6,5,1
"Primaria (013)",184,113,71
"Secundaria (014)",634,387,247
"Superior no univ. incompleta (015)",58,33,25
"Superior no univ. completa (016)",96,60,36
"Superior univ. incompleta (017)",24,11,13
"Superior univ. completa (018)",41,19,22
"De 30 a 44 años (020)",620,229,391
"Sin nivel (021)",6,1,5
"Primaria (023)",174,61,113
"Secundaria (024)",302,112,190
"Superior no univ. incompleta (025)",30,13,17
"Superior no univ. completa (026)",74,33,41
"Superior univ. incompleta (027)",12,1,11
"Superior univ. completa (028)",22,8,14
"De 45 a 64 años (030)",284,46,238
"Sin nivel (031)",12,1,11
"Primaria (033)",170,24,146
"Secundaria (034)",86,19,67
"Superior no univ. incompleta (035)",4,2,2
"Superior no univ. completa (036)",6,,6
"Superior univ. incompleta (037)",3,,3
"Superior univ. completa (038)",3,,3
"De 65 y más años (040)",67,,67
"Sin nivel (041)",21,,21
"Primaria (043)",41,,41
"Secundaria (044)",3,,3
"Superior no univ. incompleta (045)",1,,1
"Superior no univ. completa (046)",1,,1
,,,
"AREA URBANA (050)",799,378,421
"Sin nivel (051)",7,1,6
"Primaria (053)",148,52,96
"Secundaria (054)",432,217,215
"Superior no univ. incompleta (055)",57,30,27
"Superior no univ. completa (056)",93,52,41
"Superior univ. incompleta (057)",20,7,13
"Superior univ. completa (058)",42,19,23
"De 14 a 29 años (060)",433,262,171
"Primaria (063)",48,27,21
"Secundaria (064)",263,160,103
"Superior no univ. incompleta (065)",34,22,12
"Superior no univ. completa (066)",50,32,18
"Superior univ. incompleta (067)",11,6,5
"Superior univ. completa (068)",27,15,12
"De 30 a 44 años (070)",271,98,173
"Sin nivel (071)",4,1,3
"Primaria (073)",48,17,31
"Secundaria (074)",139,48,91
"Superior no univ. incompleta (075)",20,7,13
"Superior no univ. completa (076)",39,20,19
"Superior univ. incompleta (077)",8,1,7
"Superior univ. completa (078)",13,4,9
"De 45 a 64 años (080)",79,18,61
"Primaria (083)",43,8,35
"Secundaria (084)",28,9,19
"Superior no univ. incompleta (085)",2,1,1
"Superior no univ. completa (086)",3,,3
"Superior univ. incompleta (087)",1,,1
"Superior univ. completa (088)",2,,2
"De 65 y más años (090)",16,,16
"Sin nivel (091)",3,,3
"Primaria (093)",9,,9
"Secundaria (094)",2,,2
"Superior no univ. incompleta (095)",1,,1
"Superior no univ. completa (096)",1,,1
,,,
"AREA RURAL (100)",1215,525,690
"Sin nivel (101)",38,6,32
"Primaria (103)",421,146,275
"Secundaria (104)",593,301,292
"Superior no univ. incompleta (105)",36,18,18
"Superior no univ. completa (106)",84,41,43
"Superior univ. incompleta (107)",19,5,14
"Superior univ. completa (108)",24,8,16
"De 14 a 29 años (110)",610,366,244
"Sin nivel (111)",6,5,1
"Primaria (113)",136,86,50
"Secundaria (114)",371,227,144
"Superior no univ. incompleta (115)",24,11,13
"Superior no univ. completa (116)",46,28,18
"Superior univ. incompleta (117)",13,5,8
"Superior univ. completa (118)",14,4,10
"De 30 a 44 años (120)",349,131,218
"Sin nivel (121)",2,,2
"Primaria (123)",126,44,82
"Secundaria (124)",163,64,99
"Superior no univ. incompleta (125)",10,6,4
"Superior no univ. completa (126)",35,13,22
"Superior univ. incompleta (127)",4,,4
"Superior univ. completa (128)",9,4,5
"De 45 a 64 años (130)",205,28,177
"Sin nivel (131)",12,1,11
"Primaria (133)",127,16,111
"Secundaria (134)",58,10,48
"Superior no univ. incompleta (135)",2,1,1
"Superior no univ. completa (136)",3,,3
"Superior univ. incompleta (137)",2,,2
"Superior univ. completa (138)",1,,1
"De 65 y más años (140)",51,,51
"Sin nivel (141)",18,,18
"Primaria (143)",32,,32
"Secundaria (144)",1,,1
