"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUALLAGA (000)",9555,354,3191,3254,2180,576
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",16,,2,5,7,2
"Profes., científicos e intelectuales (002)",409,,62,214,129,4
"Técnicos de nivel medio y trab.asimilados (003)",141,,36,71,29,5
"Jefes y empleados de oficina (004)",126,,33,58,34,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",477,6,101,211,127,32
"Agricult.trabaj. calif. agrop. y pesqueros (006)",4488,45,1244,1617,1193,389
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",215,2,59,81,61,12
"Obreros construc., conf., papel, fab., instr. (008)",301,,79,138,80,4
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",2913,283,1393,698,436,103
"Otra (010)",28,,10,17,1,
"Ocupación no especificada (011)",190,,78,56,42,14
"Desocupado (012)",251,18,94,88,41,10
"Hombres (013)",7459,273,2522,2490,1707,467
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",14,,2,4,7,1
"Profes., científicos e intelectuales (015)",220,,25,111,80,4
"Técnicos de nivel medio y trab.asimilados (016)",74,,25,32,15,2
"Jefes y empleados de oficina (017)",56,,12,25,19,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",222,3,47,89,67,16
"Agricult.trabaj. calif. agrop. y pesqueros (019)",4234,37,1166,1545,1122,364
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",182,2,54,70,46,10
"Obreros construc., conf., papel, fab., instr. (021)",299,,77,138,80,4
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",1880,220,1016,373,219,52
"Otra (023)",26,,9,16,1,
"Ocupación no especificada (024)",50,,15,14,14,7
"Desocupado (025)",202,11,74,73,37,7
"Mujeres (026)",2096,81,669,764,473,109
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",2,,,1,,1
"Profes., científicos e intelectuales (028)",189,,37,103,49,
"Técnicos de nivel medio y trab.asimilados (029)",67,,11,39,14,3
"Jefes y empleados de oficina (030)",70,,21,33,15,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",255,3,54,122,60,16
"Agricult.trabaj. calif. agrop. y pesqueros (032)",254,8,78,72,71,25
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",33,,5,11,15,2
"Obreros construc., conf., papel, fab., instr. (034)",2,,2,,,
