"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ATALAYA (000)",12955,1808,3341,3945,248,3402,211
"Sin nivel (001)",2311,17,617,589,16,1052,20
"Educación inicial (002)",97,3,25,18,2,46,3
"Primaria (003)",4886,97,1343,1549,63,1756,78
"Secundaria (004)",3671,418,1160,1393,117,485,98
"Superior no univ. incompleta (005)",470,182,112,135,12,22,7
"Superior no univ. completa (006)",742,537,49,119,13,20,4
"Superior univ. incompleta (007)",236,131,18,66,14,7,
"Superior univ. completa (008)",542,423,17,76,11,14,1
"Hombres (010)",8875,1134,2629,2925,202,1954,31
"Sin nivel (011)",1354,7,391,415,9,531,1
"Educación inicial (012)",47,2,13,11,2,19,
"Primaria (013)",3345,42,1025,1168,52,1043,15
"Secundaria (014)",2787,275,1025,1050,99,323,15
"Superior no univ. incompleta (015)",318,107,97,95,9,10,
"Superior no univ. completa (016)",486,335,46,82,10,13,
"Superior univ. incompleta (017)",173,94,17,44,14,4,
"Superior univ. completa (018)",365,272,15,60,7,11,
"Mujeres (020)",4080,674,712,1020,46,1448,180
"Sin nivel (021)",957,10,226,174,7,521,19
"Educación inicial (022)",50,1,12,7,,27,3
"Primaria (023)",1541,55,318,381,11,713,63
"Secundaria (024)",884,143,135,343,18,162,83
"Superior no univ. incompleta (025)",152,75,15,40,3,12,7
"Superior no univ. completa (026)",256,202,3,37,3,7,4
"Superior univ. incompleta (027)",63,37,1,22,,3,
"Superior univ. completa (028)",177,151,2,16,4,3,1
,,,,,,,
"URBANA (030)",5393,1502,1326,1880,176,339,170
"Sin nivel (031)",173,10,52,60,2,36,13
"Educación inicial (032)",15,2,3,1,1,5,3
"Primaria (033)",1189,89,386,511,35,116,52
"Secundaria (034)",2407,384,724,968,90,151,90
"Superior no univ. incompleta (035)",381,141,95,113,11,14,7
"Superior no univ. completa (036)",586,415,38,107,12,10,4
"Superior univ. incompleta (037)",197,104,14,60,14,5,
"Superior univ. completa (038)",445,357,14,60,11,2,1
"Hombres (040)",3603,924,1111,1259,140,155,14
"Sin nivel (041)",79,6,30,27,1,15,
"Educación inicial (042)",8,1,3,,1,3,
"Primaria (043)",731,40,290,317,25,54,5
"Secundaria (044)",1736,250,645,685,75,72,9
"Superior no univ. incompleta (045)",249,79,82,76,8,4,
"Superior no univ. completa (046)",367,249,35,70,9,4,
"Superior univ. incompleta (047)",142,75,13,38,14,2,
"Superior univ. completa (048)",291,224,13,46,7,1,
"Mujeres (050)",1790,578,215,621,36,184,156
"Sin nivel (051)",94,4,22,33,1,21,13
"Educación inicial (052)",7,1,,1,,2,3
"Primaria (053)",458,49,96,194,10,62,47
"Secundaria (054)",671,134,79,283,15,79,81
"Superior no univ. incompleta (055)",132,62,13,37,3,10,7
"Superior no univ. completa (056)",219,166,3,37,3,6,4
"Superior univ. incompleta (057)",55,29,1,22,,3,
"Superior univ. completa (058)",154,133,1,14,4,1,1
,,,,,,,
"RURAL (060)",7562,306,2015,2065,72,3063,41
"Sin nivel (061)",2138,7,565,529,14,1016,7
"Educación inicial (062)",82,1,22,17,1,41,
"Primaria (063)",3697,8,957,1038,28,1640,26
"Secundaria (064)",1264,34,436,425,27,334,8
"Superior no univ. incompleta (065)",89,41,17,22,1,8,
"Superior no univ. completa (066)",156,122,11,12,1,10,
"Superior univ. incompleta (067)",39,27,4,6,,2,
"Superior univ. completa (068)",97,66,3,16,,12,
"Hombres (070)",5272,210,1518,1666,62,1799,17
"Sin nivel (071)",1275,1,361,388,8,516,1
"Educación inicial (072)",39,1,10,11,1,16,
"Primaria (073)",2614,2,735,851,27,989,10
"Secundaria (074)",1051,25,380,365,24,251,6
"Superior no univ. incompleta (075)",69,28,15,19,1,6,
"Superior no univ. completa (076)",119,86,11,12,1,9,
"Superior univ. incompleta (077)",31,19,4,6,,2,
"Superior univ. completa (078)",74,48,2,14,,10,
"Mujeres (080)",2290,96,497,399,10,1264,24
"Sin nivel (081)",863,6,204,141,6,500,6
"Educación inicial (082)",43,,12,6,,25,
"Primaria (083)",1083,6,222,187,1,651,16
"Secundaria (084)",213,9,56,60,3,83,2
"Superior no univ. incompleta (085)",20,13,2,3,,2,
"Superior no univ. completa (086)",37,36,,,,1,
"Superior univ. incompleta (087)",8,8,,,,,
"Superior univ. completa (088)",23,18,1,2,,2,
