"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia PADRE ABAD (000)",19641,20,790,358,380,1988,6905,1074,1608,5640,232,646
"Agric., ganadería, caza y silvicultura (001)",10876,,24,20,3,3,6898,2,11,3915,,
"Pesca (002)",12,,,,,,7,,,5,,
"Explotación de minas y canteras (003)",31,,,6,1,,,11,5,8,,
"Industrias manufactureras (004)",842,,5,15,5,1,,764,30,22,,
"Suministro de electricidad, gas y agua (005)",15,,,5,,,,3,2,5,,
"Construcción (006)",1150,,28,64,32,,,66,574,386,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1957,,11,24,7,1358,,213,27,317,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",285,,3,8,,61,,187,16,10,,
"Comercio al por mayor (009)",99,,2,2,1,84,,1,1,8,,
"Comercio al por menor (010)",1573,,6,14,6,1213,,25,10,299,,
"Hoteles y restaurantes (011)",797,,4,24,13,509,,,,247,,
"Trans., almac. y comunicaciones (012)",1069,,3,9,20,1,,3,915,118,,
"Intermediación financiera (013)",11,,1,2,8,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",340,,76,71,79,50,,3,19,42,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",575,17,19,19,152,25,,8,24,79,232,
"Enseñanza (016)",568,3,555,1,5,,,,,4,,
"Servicios sociales y de salud (017)",140,,51,57,7,5,,,,20,,
"Otras activ. serv.comun.soc y personales (018)",212,,12,33,10,36,,1,1,119,,
"Hogares privados con servicio doméstico (019)",351,,,,,,,,,351,,
"Actividad economica no especificada (021)",695,,1,8,38,,,,,2,,646
"Hombres (022)",14903,15,438,276,221,802,6340,958,1557,3659,231,406
"Agric., ganadería, caza y silvicultura (023)",9181,,21,19,2,,6333,2,11,2793,,
"Pesca (024)",10,,,,,,7,,,3,,
"Explotación de minas y canteras (025)",30,,,6,1,,,11,4,8,,
"Industrias manufactureras (026)",714,,4,15,4,,,659,17,15,,
"Suministro de electricidad, gas y agua (027)",15,,,5,,,,3,2,5,,
"Construcción (028)",1104,,26,63,22,,,66,561,366,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1043,,9,17,5,638,,203,27,144,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",253,,3,6,,42,,179,16,7,,
"Comercio al por mayor (031)",75,,1,1,1,62,,1,1,8,,
"Comercio al por menor (032)",715,,5,10,4,534,,23,10,129,,
"Hoteles y restaurantes (033)",151,,3,14,7,82,,,,45,,
"Trans., almac. y comunicaciones (034)",1012,,2,6,11,,,3,895,95,,
"Intermediación financiera (035)",6,,1,1,4,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",257,,64,58,36,48,,3,18,30,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",478,12,15,11,107,23,,8,21,50,231,
"Enseñanza (038)",275,3,265,,4,,,,,3,,
"Servicios sociales y de salud (039)",62,,20,32,4,2,,,,4,,
"Otras activ. serv.comun.soc y personales (040)",97,,7,25,5,9,,,1,50,,
"Hogares privados con servicio doméstico (041)",46,,,,,,,,,46,,
"Actividad economica no especificada (043)",422,,1,4,9,,,,,2,,406
"Mujeres (044)",4738,5,352,82,159,1186,565,116,51,1981,1,240
"Agric., ganadería, caza y silvicultura (045)",1695,,3,1,1,3,565,,,1122,,
"Pesca (046)",2,,,,,,,,,2,,
"Explotación de minas y canteras (047)",1,,,,,,,,1,,,
"Industrias manufactureras (048)",128,,1,,1,1,,105,13,7,,
"Construcción (050)",46,,2,1,10,,,,13,20,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",914,,2,7,2,720,,10,,173,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",32,,,2,,19,,8,,3,,
"Comercio al por mayor (053)",24,,1,1,,22,,,,,,
"Comercio al por menor (054)",858,,1,4,2,679,,2,,170,,
