"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia ASUNCION (000)",2551,12,79,226,327,477,870,560
"De 15 a 19 años (002)",48,,,,,,27,21
"De 20 a 24 años (003)",219,,,,,,129,90
"De 25 a 29 años (004)",273,,,,,11,187,75
"De 30 a 34 años (005)",284,,,,,29,205,50
"De 35 a 39 años (006)",290,,,,1,76,176,37
"De 40 a 44 años (007)",211,,,,5,85,94,27
"De 45 a 49 años (008)",201,,,2,25,105,49,20
"De 50 y más años (009)",1025,12,79,224,296,171,3,240
"Conviviente (010)",548,,,13,17,82,316,120
"De 15 a 19 años (012)",35,,,,,,18,17
"De 20 a 24 años (013)",123,,,,,,83,40
"De 25 a 29 años (014)",122,,,,,5,95,22
"De 30 a 34 años (015)",75,,,,,10,52,13
"De 35 a 39 años (016)",58,,,,,17,38,3
"De 40 a 44 años (017)",29,,,,1,9,17,2
"De 45 a 49 años (018)",34,,,,2,16,12,4
"De 50 y más años (019)",72,,,13,14,25,1,19
"Separado(a) (020)",97,,1,4,12,13,37,30
"De 15 a 19 años (022)",4,,,,,,3,1
"De 20 a 24 años (023)",9,,,,,,6,3
"De 25 a 29 años (024)",15,,,,,,9,6
"De 30 a 34 años (025)",17,,,,,3,9,5
"De 35 a 39 años (026)",10,,,,,1,5,4
"De 40 a 44 años (027)",6,,,,,3,2,1
"De 45 a 49 años (028)",6,,,,1,1,3,1
"De 50 y más años (029)",30,,1,4,11,5,,9
"Casado(a) (030)",1284,2,16,93,195,323,462,193
"De 15 a 19 años (032)",5,,,,,,3,2
"De 20 a 24 años (033)",39,,,,,,33,6
"De 25 a 29 años (034)",92,,,,,4,70,18
"De 30 a 34 años (035)",165,,,,,15,135,15
"De 35 a 39 años (036)",191,,,,1,51,117,22
"De 40 a 44 años (037)",150,,,,4,61,69,16
"De 45 a 49 años (038)",135,,,2,18,74,33,8
"De 50 y más años (039)",507,2,16,91,172,118,2,106
"Viudo(a) (040)",423,8,57,104,91,50,15,98
"De 20 a 24 años (043)",2,,,,,,,2
"De 25 a 29 años (044)",4,,,,,1,2,1
"De 30 a 34 años (045)",5,,,,,1,3,1
"De 35 a 39 años (046)",12,,,,,4,5,3
"De 40 a 44 años (047)",17,,,,,10,4,3
"De 45 a 49 años (048)",19,,,,3,12,1,3
"De 50 y más años (049)",364,8,57,104,88,22,,85
"Divorciado(a) (050)",9,,2,2,2,1,,2
"De 40 a 44 años (057)",1,,,,,1,,
"De 50 y más años (059)",8,,2,2,2,,,2
"Soltero(a) (060)",190,2,3,10,10,8,40,117
"De 15 a 19 años (062)",4,,,,,,3,1
"De 20 a 24 años (063)",46,,,,,,7,39
