"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia BOLOGNESI (000)",7998,107,3073,2671,813,305,132,72,16,,809
"Sin Nivel (001)",1649,36,724,499,138,69,18,24,5,,136
"Educación Inicial (002)",65,1,32,17,3,1,,,,,11
"Primaria (003)",3216,42,1383,1067,286,94,63,34,10,,237
"Secundaria (004)",1764,20,686,603,155,64,19,11,,,206
"Sup. no Univ. Incompleta (005)",320,3,74,128,48,11,4,,,,52
"Sup. no Univ. Completa (006)",466,4,84,194,80,28,11,3,1,,61
"Sup. Univ. Incompleta (007)",144,,26,51,28,6,4,,,,29
"Sup. Univ. Completa (008)",374,1,64,112,75,32,13,,,,77
,,,,,,,,,,,
"URBANA (010)",5229,75,1906,1764,558,213,105,53,16,,539
"Sin Nivel (011)",890,23,369,267,68,39,12,13,5,,94
"Educación Inicial (012)",39,,19,10,1,1,,,,,8
"Primaria (013)",1934,30,822,627,175,55,49,28,10,,138
"Secundaria (014)",1228,16,472,426,106,50,14,10,,,134
"Sup. no Univ. Incompleta (015)",278,3,64,114,44,10,3,,,,40
"Sup. no Univ. Completa (016)",411,3,78,173,70,26,11,2,1,,47
"Sup. Univ. Incompleta (017)",123,,20,43,25,6,4,,,,25
"Sup. Univ. Completa (018)",326,,62,104,69,26,12,,,,53
,,,,,,,,,,,
"RURAL (020)",2769,32,1167,907,255,92,27,19,,,270
"Sin Nivel (021)",759,13,355,232,70,30,6,11,,,42
"Educación Inicial (022)",26,1,13,7,2,,,,,,3
"Primaria (023)",1282,12,561,440,111,39,14,6,,,99
"Secundaria (024)",536,4,214,177,49,14,5,1,,,72
"Sup. no Univ. Incompleta (025)",42,,10,14,4,1,1,,,,12
"Sup. no Univ. Completa (026)",55,1,6,21,10,2,,1,,,14
"Sup. Univ. Incompleta (027)",21,,6,8,3,,,,,,4
"Sup. Univ. Completa (028)",48,1,2,8,6,6,1,,,,24
