"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia PALLASCA (000)",10270,33196,29628,,661,89.3,2
"De 12 a 14 años (001)",1175,5,5,,1,100,20
"De 15 a 19 años (002)",1382,259,252,91,97.3,35.1,
"De 20 a 24 años (003)",957,1078,1037,159,96.2,14.7,
"De 25 a 29 años (004)",850,1736,1669,154,96.1,8.9,
"De 30 a 34 años (005)",842,2470,2350,105,95.1,4.3,
"De 35 a 39 años (006)",820,3229,3013,98,93.3,3,
"De 40 a 44 años (007)",737,3598,3372,36,93.7,1,
"De 45 a 49 años (008)",612,3347,3072,17,91.8,0.5,
"De 50 y más años (009)",2895,17474,14858,,85,,
"Conviviente (010)",2695,10343,9390,412,90.8,4,
"De 12 a 14 años (011)",7,2,2,,100,,
"De 15 a 19 años (012)",164,141,137,46,97.2,32.6,
"De 20 a 24 años (013)",445,687,659,118,95.9,17.2,
"De 25 a 29 años (014)",460,1098,1050,103,95.6,9.4,
"De 30 a 34 años (015)",410,1428,1342,68,94,4.8,
"De 35 a 39 años (016)",343,1515,1406,48,92.8,3.2,
"De 40 a 44 años (017)",267,1494,1402,21,93.8,1.4,
"De 45 a 49 años (018)",179,1166,1036,8,88.9,0.7,
"De 50 y más años (019)",420,2812,2356,,83.8,,
"Separado(a) (020)",207,731,684,14,93.6,1.9,
"De 15 a 19 años (022)",6,4,4,2,100,50,
"De 20 a 24 años (023)",24,29,28,2,96.6,6.9,
"De 25 a 29 años (024)",21,33,33,3,100,9.1,
"De 30 a 34 años (025)",21,52,51,1,98.1,1.9,
"De 35 a 39 años (026)",26,96,89,5,92.7,5.2,
"De 40 a 44 años (027)",17,69,66,1,95.7,1.4,
"De 45 a 49 años (028)",18,79,77,,97.5,,
"De 50 y más años (029)",74,369,336,,91.1,,
"Casado(a) (030)",2832,15369,13795,140,89.8,0.9,
"De 12 a 14 años (031)",3,,,,,,
"De 15 a 19 años (032)",13,12,11,3,91.7,25,
"De 20 a 24 años (033)",76,139,133,17,95.7,12.2,
"De 25 a 29 años (034)",146,394,380,32,96.4,8.1,
"De 30 a 34 años (035)",221,735,704,28,95.8,3.8,
"De 35 a 39 años (036)",334,1403,1309,41,93.3,2.9,
"De 40 a 44 años (037)",353,1781,1663,12,93.4,0.7,
"De 45 a 49 años (038)",316,1844,1717,7,93.1,0.4,
