"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CAMANA (000)",14099,99,359,846,1732,2999,4581,3483
"De 12 a 14 años (001)",18,,,,,,2,16
"De 15 a 19 años (002)",274,,,,,,166,108
"De 20 a 24 años (003)",1416,,,,,4,830,582
"De 25 a 29 años (004)",1823,,,,,110,1113,600
"De 30 a 34 años (005)",1850,,,,,365,1069,416
"De 35 a 39 años (006)",1842,,,,28,615,837,362
"De 40 a 44 años (007)",1599,,,,157,720,414,308
"De 45 a 49 años (008)",1371,,,13,325,659,131,243
"De 50 y más años (009)",3906,99,359,833,1222,526,19,848
"PEA (010)",6224,2,40,224,742,1604,2052,1560
"De 15 a 19 años (012)",67,,,,,,39,28
"De 20 a 24 años (013)",537,,,,,2,304,231
"De 25 a 29 años (014)",837,,,,,57,479,301
"De 30 a 34 años (015)",947,,,,,202,520,225
"De 35 a 39 años (016)",974,,,,15,347,410,202
"De 40 a 44 años (017)",865,,,,86,385,221,173
"De 45 a 49 años (018)",751,,,8,180,354,71,138
"De 50 y más años (019)",1246,2,40,216,461,257,8,262
"Ocupada (020)",5989,2,40,222,727,1552,1961,1485
"De 15 a 19 años (022)",61,,,,,,36,25
"De 20 a 24 años (023)",504,,,,,2,288,214
"De 25 a 29 años (024)",796,,,,,53,457,286
"De 30 a 34 años (025)",903,,,,,195,497,211
"De 35 a 39 años (026)",931,,,,14,332,393,192
"De 40 a 44 años (027)",838,,,,86,370,214,168
"De 45 a 49 años (028)",733,,,8,176,347,69,133
"De 50 y más años (029)",1223,2,40,214,451,253,7,256
"Desocupada (030)",235,,,2,15,52,91,75
"De 15 a 19 años (032)",6,,,,,,3,3
"De 20 a 24 años (033)",33,,,,,,16,17
"De 25 a 29 años (034)",41,,,,,4,22,15
"De 30 a 34 años (035)",44,,,,,7,23,14
"De 35 a 39 años (036)",43,,,,1,15,17,10
"De 40 a 44 años (037)",27,,,,,15,7,5
"De 45 a 49 años (038)",18,,,,4,7,2,5
"De 50 y más años (039)",23,,,2,10,4,1,6
"No PEA (040)",7875,97,319,622,990,1395,2529,1923
"De 12 a 14 años (041)",18,,,,,,2,16
"De 15 a 19 años (042)",207,,,,,,127,80
"De 20 a 24 años (043)",879,,,,,2,526,351
"De 25 a 29 años (044)",986,,,,,53,634,299
"De 30 a 34 años (045)",903,,,,,163,549,191
"De 35 a 39 años (046)",868,,,,13,268,427,160
"De 40 a 44 años (047)",734,,,,71,335,193,135
"De 45 a 49 años (048)",620,,,5,145,305,60,105
"De 50 y más años (049)",2660,97,319,617,761,269,11,586
,,,,,,,,
