"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CHOTA (000)",61443,170040,154817,,2690,91,1.6
"De 12 a 14 años (001)",6149,24,24,,3,100,12.5
"De 15 a 19 años (002)",7989,1161,1138,303,98,26.1,
"De 20 a 24 años (003)",6628,5350,5231,653,97.8,12.2,
"De 25 a 29 años (004)",6166,9494,9305,622,98,6.6,
"De 30 a 34 años (005)",5604,12750,12380,508,97.1,4,
"De 35 a 39 años (006)",5619,17101,16464,387,96.3,2.3,
"De 40 a 44 años (007)",4526,17127,16282,174,95.1,1,
"De 45 a 49 años (008)",3965,17614,16523,40,93.8,0.2,
"De 50 y más años (009)",14797,89419,77470,,86.6,,
"Sin nivel (010)",17490,88352,77692,455,87.9,0.5,
"De 12 a 14 años (011)",91,1,1,,100,,
"De 15 a 19 años (012)",269,100,99,16,99,16,
"De 20 a 24 años (013)",498,512,493,48,96.3,9.4,
"De 25 a 29 años (014)",752,1400,1363,91,97.4,6.5,
"De 30 a 34 años (015)",966,2464,2382,97,96.7,3.9,
"De 35 a 39 años (016)",1534,5007,4788,111,95.6,2.2,
"De 40 a 44 años (017)",1631,6877,6466,74,94,1.1,
"De 45 a 49 años (018)",1733,8321,7717,18,92.7,0.2,
"De 50 y más años (019)",10016,63670,54383,,85.4,,
"Educacion Inicial (020)",84,102,100,3,98,2.9,
"De 12 a 14 años (021)",11,,,,,,
"De 15 a 19 años (022)",13,4,4,1,100,25,
"De 20 a 24 años (023)",18,14,13,,92.9,,
"De 25 a 29 años (024)",18,29,29,1,100,3.4,
"De 30 a 34 años (025)",17,34,34,1,100,2.9,
"De 35 a 39 años (026)",7,21,20,,95.2,,
"Primaria (030)",27566,67224,62998,1559,93.7,2.3,
"De 12 a 14 años (031)",3413,12,12,3,100,25,
"De 15 a 19 años (032)",3177,692,678,184,98,26.6,
"De 20 a 24 años (033)",3556,3352,3268,395,97.5,11.8,
"De 25 a 29 años (034)",3384,5856,5730,367,97.8,6.3,
"De 30 a 34 años (035)",3099,7772,7529,294,96.9,3.8,
"De 35 a 39 años (036)",2937,9552,9179,212,96.1,2.2,
"De 40 a 44 años (037)",2156,8425,8035,85,95.4,1,
"De 45 a 49 años (038)",1707,7950,7501,19,94.4,0.2,
"De 50 y más años (039)",4137,23613,21066,,89.2,,
