"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia LA CONVENCION (000)",41392,102,535,1706,3894,8321,16118,10716
"De 12 a 14 años (001)",100,,,,,,13,87
"De 15 a 19 años (002)",1793,,,,,,1015,778
"De 20 a 24 años (003)",5185,,,,,16,3092,2077
"De 25 a 29 años (004)",5875,,,,,323,3718,1834
"De 30 a 34 años (005)",5258,,,,2,883,3187,1186
"De 35 a 39 años (006)",5229,,,,45,1560,2691,933
"De 40 a 44 años (007)",4434,,,,256,1889,1590,699
"De 45 a 49 años (008)",3674,,,17,612,1777,712,556
"De 50 y más años (009)",9844,102,535,1689,2979,1873,100,2566
"Sin nivel (010)",9118,70,365,986,1582,1724,1880,2511
"De 12 a 14 años (011)",4,,,,,,2,2
"De 15 a 19 años (012)",86,,,,,,46,40
"De 20 a 24 años (013)",230,,,,,1,135,94
"De 25 a 29 años (014)",387,,,,,14,265,108
"De 30 a 34 años (015)",523,,,,1,55,337,130
"De 35 a 39 años (016)",737,,,,6,167,418,146
"De 40 a 44 años (017)",888,,,,36,328,367,157
"De 45 a 49 años (018)",980,,,4,108,426,266,176
"De 50 y más años (019)",5283,70,365,982,1431,733,44,1658
"Educacion Inicial (020)",52,,,,,3,26,23
"De 15 a 19 años (022)",3,,,,,,,3
"De 20 a 24 años (023)",11,,,,,1,5,5
"De 25 a 29 años (024)",16,,,,,,7,9
"De 30 a 34 años (025)",9,,,,,1,6,2
"De 35 a 39 años (026)",13,,,,,1,8,4
"Primaria (030)",15386,23,122,488,1483,3724,6563,2983
"De 12 a 14 años (031)",49,,,,,,7,42
"De 15 a 19 años (032)",666,,,,,,392,274
"De 20 a 24 años (033)",1597,,,,,6,1068,523
"De 25 a 29 años (034)",2026,,,,,109,1436,481
"De 30 a 34 años (035)",1990,,,,,347,1314,329
"De 35 a 39 años (036)",2202,,,,19,710,1191,282
"De 40 a 44 años (037)",2017,,,,98,887,791,241
"De 45 a 49 años (038)",1625,,,6,279,825,325,190
"De 50 y más años (039)",3214,23,122,482,1087,840,39,621
"Secundaria (040)",12844,7,37,183,646,2197,6159,3615
"De 12 a 14 años (041)",47,,,,,,4,43
"De 15 a 19 años (042)",1007,,,,,,566,441
"De 20 a 24 años (043)",2782,,,,,7,1680,1095
"De 25 a 29 años (044)",2540,,,,,161,1607,772
"De 30 a 34 años (045)",1900,,,,,374,1112,414
"De 35 a 39 años (046)",1609,,,,17,531,764,297
"De 40 a 44 años (047)",1127,,,,99,500,312,216
"De 45 a 49 años (048)",816,,,6,175,399,100,136
"De 50 y más años (049)",1016,7,37,177,355,225,14,201
