"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia DOS DE MAYO (000)",16240,52151,44795,,923,85.9,1.8
"De 12 a 14 años (001)",2045,7,7,,2,100,28.6
"De 15 a 19 años (002)",2490,396,390,110,98.5,27.8,
"De 20 a 24 años (003)",1849,1876,1800,236,95.9,12.6,
"De 25 a 29 años (004)",1481,2936,2802,180,95.4,6.1,
"De 30 a 34 años (005)",1364,4438,4145,153,93.4,3.4,
"De 35 a 39 años (006)",1358,6177,5664,153,91.7,2.5,
"De 40 a 44 años (007)",1146,6566,5973,68,91,1,
"De 45 a 49 años (008)",1007,6398,5590,21,87.4,0.3,
"De 50 y más años (009)",3500,23357,18424,,78.9,,
"PEA (010)",3264,12057,10518,192,87.2,1.6,
"De 12 a 14 años (011)",64,,,,,,
"De 15 a 19 años (012)",217,72,69,11,95.8,15.3,
"De 20 a 24 años (013)",365,316,301,36,95.3,11.4,
"De 25 a 29 años (014)",414,635,611,39,96.2,6.1,
"De 30 a 34 años (015)",404,1074,1010,43,94,4,
"De 35 a 39 años (016)",404,1505,1407,42,93.5,2.8,
"De 40 a 44 años (017)",349,1792,1646,13,91.9,0.7,
"De 45 a 49 años (018)",300,1804,1598,8,88.6,0.4,
"De 50 y más años (019)",747,4859,3876,,79.8,,
"Ocupada (020)",3085,11853,10331,187,87.2,1.6,
"De 12 a 14 años (021)",57,,,,,,
"De 15 a 19 años (022)",182,72,69,11,95.8,15.3,
"De 20 a 24 años (023)",309,292,277,34,94.9,11.6,
"De 25 a 29 años (024)",377,607,584,38,96.2,6.3,
"De 30 a 34 años (025)",389,1063,1000,42,94.1,4,
"De 35 a 39 años (026)",394,1478,1381,41,93.4,2.8,
"De 40 a 44 años (027)",344,1760,1615,13,91.8,0.7,
"De 45 a 49 años (028)",294,1765,1563,8,88.6,0.5,
"De 50 y más años (029)",739,4816,3842,,79.8,,
"Desocupada (030)",179,204,187,5,91.7,2.5,
"De 12 a 14 años (031)",7,,,,,,
"De 15 a 19 años (032)",35,,,,,,
"De 20 a 24 años (033)",56,24,24,2,100,8.3,
"De 25 a 29 años (034)",37,28,27,1,96.4,3.6,
"De 30 a 34 años (035)",15,11,10,1,90.9,9.1,
"De 35 a 39 años (036)",10,27,26,1,96.3,3.7,
