"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ICA (000)",129879,117945,33134,21234,20873,14718,15078,7063,3464,2381,11934,274547
"De 12 a 14 años (001)",9244,9179,9140,34,5,,,,,,65,44
"De 15 a 19 años (002)",16248,15794,14165,1468,137,13,11,,,,454,1825
"De 20 a 24 años (003)",16091,12430,5452,5135,1561,230,32,20,,,3661,9207
"De 25 a 29 años (004)",13908,10674,1324,4661,3333,1044,288,23,1,,3234,15817
"De 30 a 34 años (005)",12657,11178,692,3321,4126,2039,889,94,12,5,1479,22202
"De 35 a 39 años (006)",11775,10879,460,2115,3675,2594,1726,270,29,10,896,26693
"De 40 a 44 años (007)",10406,9806,358,1326,2704,2497,2261,550,92,18,600,28513
"De 45 a 49 años (008)",8776,8326,311,957,1867,2004,2157,775,197,58,450,27328
"De 50 y más años (009)",30774,29679,1232,2217,3465,4297,7714,5331,3133,2290,1095,142918
"PEA (010)",51351,44572,8023,10706,10280,6850,5761,1941,672,339,6779,98620
"De 12 a 14 años (011)",290,287,281,6,,,,,,,3,6
"De 15 a 19 años (012)",3307,3209,2804,367,30,5,3,,,,98,454
"De 20 a 24 años (013)",7114,5212,2404,2139,566,75,15,13,,,1902,3637
"De 25 a 29 años (014)",7567,5361,880,2468,1438,443,124,8,,,2206,7240
"De 30 a 34 años (015)",7137,6103,514,2044,2103,978,413,45,5,1,1034,11271
"De 35 a 39 años (016)",6955,6349,318,1407,2129,1435,909,132,14,5,606,14868
"De 40 a 44 años (017)",6051,5685,237,866,1641,1416,1200,280,40,5,366,15772
"De 45 a 49 años (018)",4924,4660,200,632,1086,1111,1131,371,100,29,264,14551
"De 50 y más años (019)",8006,7706,385,777,1287,1387,1966,1092,513,299,300,30821
