"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ICA (000)",96745,84814,161,21766,21459,15169,15350,6826,2940,1143,11931,258247
"De 12 a 14 años (001)",104,39,3,31,5,,,,,,65,41
"De 15 a 19 años (002)",2083,1629,5,1472,132,11,9,,,,454,1805
"De 20 a 24 años (003)",10639,6981,30,5170,1515,220,28,18,,,3658,9089
"De 25 a 29 años (004)",12584,9350,15,4709,3330,1015,258,22,1,,3234,15636
"De 30 a 34 años (005)",11965,10486,9,3376,4164,1997,843,82,10,5,1479,21901
"De 35 a 39 años (006)",11315,10419,16,2171,3714,2627,1629,232,22,8,896,26154
"De 40 a 44 años (007)",10048,9448,14,1369,2800,2545,2179,460,72,9,600,27676
"De 45 a 49 años (008)",8465,8015,8,1003,1974,2027,2138,680,157,28,450,26260
"De 50 y más años (009)",29542,28447,61,2465,3825,4727,8266,5332,2678,1093,1095,129685
"Conviviente (010)",27095,25934,56,8955,7494,4179,3479,1233,398,140,1161,64346
"De 12 a 14 años (011)",69,16,2,14,,,,,,,53,14
"De 15 a 19 años (012)",1483,1109,3,999,99,5,3,,,,374,1224
"De 20 a 24 años (013)",4881,4504,24,3187,1103,157,21,12,,,377,6027
"De 25 a 29 años (014)",5331,5140,5,2293,2024,644,164,10,,,191,9020
"De 30 a 34 años (015)",4730,4650,4,1198,1884,1037,472,49,3,3,80,10441
"De 35 a 39 años (016)",3695,3654,6,606,1152,989,751,136,9,5,41,10073
"De 40 a 44 años (017)",2472,2463,6,275,560,624,773,192,29,4,9,8163
"De 45 a 49 años (018)",1671,1655,2,156,324,365,514,221,56,17,16,6229
"De 50 y más años (019)",2763,2743,4,227,348,358,781,613,301,111,20,13155
"Separado(a) (020)",7307,7160,4,2246,1801,1138,1256,472,196,47,147,19954
