"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PALPA (000)",4963,4609,1212,740,740,547,624,384,210,152,354,12544
"De 12 a 14 años (001)",415,414,411,3,,,,,,,1,3
"De 15 a 19 años (002)",619,595,516,69,9,1,,,,,24,90
"De 20 a 24 años (003)",563,441,160,198,67,11,5,,,,122,385
"De 25 a 29 años (004)",482,396,30,164,141,48,13,,,,86,645
"De 30 a 34 años (005)",450,407,15,113,147,78,49,5,,,43,874
"De 35 a 39 años (006)",429,415,12,53,143,107,82,17,1,,14,1131
"De 40 a 44 años (007)",414,399,6,32,82,87,132,48,11,1,15,1443
"De 45 a 49 años (008)",354,338,8,40,67,61,84,52,22,4,16,1283
"De 50 y más años (009)",1237,1204,54,68,84,154,259,262,176,147,33,6690
"Sin nivel (010)",356,341,14,11,14,23,72,96,64,47,15,2126
"De 15 a 19 años (012)",4,4,4,,,,,,,,,
"De 20 a 24 años (013)",8,2,2,,,,,,,,6,
"De 25 a 29 años (014)",6,3,,1,,1,1,,,,3,9
"De 30 a 34 años (015)",4,3,,1,2,,,,,,1,5
"De 35 a 39 años (016)",11,11,1,,1,3,4,2,,,,44
"De 40 a 44 años (017)",18,17,,,2,1,8,5,1,,1,85
"De 45 a 49 años (018)",24,24,2,,1,2,10,7,2,,,118
"De 50 y más años (019)",281,277,5,9,8,16,49,82,61,47,4,1865
"Educacion Inicial (020)",2,2,2,,,,,,,,,
"De 12 a 14 años (021)",2,2,2,,,,,,,,,
"Primaria (030)",1156,1130,196,54,122,143,218,187,118,92,26,4933
"De 12 a 14 años (031)",148,148,146,2,,,,,,,,2
"De 15 a 19 años (032)",42,39,27,9,3,,,,,,3,15
"De 20 a 24 años (033)",37,33,4,10,17,1,1,,,,4,51
