"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PISCO (000)",35531,456,12564,11041,4084,1509,613,173,21,,5070
"Conviviente (001)",10885,161,4797,3407,963,318,118,32,4,,1085
"Separado(a) (002)",2615,47,1047,858,323,118,50,17,,,155
"Casado(a) (003)",15005,149,5047,5391,2208,822,321,87,12,,968
"Viudo(a) (004)",2270,67,961,678,231,85,58,23,2,,165
"Divorciado(a) (005)",228,5,78,70,30,14,5,1,,,25
"Soltero(a) (006)",4528,27,634,637,329,152,61,13,3,,2672
,,,,,,,,,,,
"URBANA (008)",31462,384,10941,9798,3681,1383,558,160,17,,4540
"Conviviente (009)",9396,135,4111,2949,813,283,106,27,4,,968
"Separado(a) (010)",2433,41,970,809,292,109,49,16,,,147
"Casado(a) (011)",13364,127,4368,4830,2034,763,289,82,9,,862
"Viudo(a) (012)",1980,55,839,583,205,75,53,22,2,,146
"Divorciado(a) (013)",216,3,71,68,29,14,5,1,,,25
"Soltero(a) (014)",4073,23,582,559,308,139,56,12,2,,2392
,,,,,,,,,,,
"RURAL (016)",4069,72,1623,1243,403,126,55,13,4,,530
"Conviviente (017)",1489,26,686,458,150,35,12,5,,,117
"Separado(a) (018)",182,6,77,49,31,9,1,1,,,8
"Casado(a) (019)",1641,22,679,561,174,59,32,5,3,,106
"Viudo(a) (020)",290,12,122,95,26,10,5,1,,,19
"Divorciado(a) (021)",12,2,7,2,1,,,,,,
"Soltero(a) (022)",455,4,52,78,21,13,5,1,1,,280
