"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia PACASMAYO (000)",37334,86264,79897,,1431,92.6,1.7
"De 12 a 14 años (001)",3048,18,17,,3,94.4,16.7
"De 15 a 19 años (002)",4513,638,628,173,98.4,27.1,
"De 20 a 24 años (003)",3817,2714,2679,353,98.7,13,
"De 25 a 29 años (004)",3795,5094,4999,364,98.1,7.1,
"De 30 a 34 años (005)",3635,7027,6874,280,97.8,4,
"De 35 a 39 años (006)",3521,8761,8509,178,97.1,2,
"De 40 a 44 años (007)",3132,9030,8654,68,95.8,0.8,
"De 45 a 49 años (008)",2765,9235,8778,12,95.1,0.1,
"De 50 y más años (009)",9108,43747,38759,,88.6,,
"PEA (010)",9189,19450,18391,213,94.6,1.1,
"De 12 a 14 años (011)",92,2,2,1,100,50,
"De 15 a 19 años (012)",616,92,89,18,96.7,19.6,
"De 20 a 24 años (013)",1003,502,491,36,97.8,7.2,
"De 25 a 29 años (014)",1185,1199,1175,61,98,5.1,
"De 30 a 34 años (015)",1182,1905,1851,48,97.2,2.5,
"De 35 a 39 años (016)",1287,2988,2918,35,97.7,1.2,
"De 40 a 44 años (017)",1139,2959,2860,12,96.7,0.4,
"De 45 a 49 años (018)",951,2919,2764,2,94.7,0.1,
"De 50 y más años (019)",1734,6884,6241,,90.7,,
"Ocupada (020)",8715,18887,17856,202,94.5,1.1,
"De 12 a 14 años (021)",79,2,2,1,100,50,
"De 15 a 19 años (022)",544,86,83,17,96.5,19.8,
"De 20 a 24 años (023)",888,453,444,32,98,7.1,
"De 25 a 29 años (024)",1091,1135,1113,58,98.1,5.1,
"De 30 a 34 años (025)",1136,1858,1806,47,97.2,2.5,
"De 35 a 39 años (026)",1239,2893,2826,33,97.7,1.1,
"De 40 a 44 años (027)",1105,2879,2784,12,96.7,0.4,
"De 45 a 49 años (028)",936,2854,2705,2,94.8,0.1,
"De 50 y más años (029)",1697,6727,6093,,90.6,,
"Desocupada (030)",474,563,535,11,95,2,
"De 12 a 14 años (031)",13,,,,,,
"De 15 a 19 años (032)",72,6,6,1,100,16.7,
"De 20 a 24 años (033)",115,49,47,4,95.9,8.2,
"De 25 a 29 años (034)",94,64,62,3,96.9,4.7,
"De 30 a 34 años (035)",46,47,45,1,95.7,2.1,
