"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHICLAYO (000)",213194,194897,798,46527,46889,35836,37672,16559,7527,3089,18297,615545
"De 12 a 14 años (001)",193,80,8,57,15,,,,,,113,87
"De 15 a 19 años (002)",4057,3449,55,3023,303,56,12,,,,608,3845
"De 20 a 24 años (003)",19431,14259,80,9890,3476,668,129,16,,,5172,19486
"De 25 a 29 años (004)",25584,20894,77,9978,7160,2730,885,55,9,,4690,36609
"De 30 a 34 años (005)",27050,24515,90,7447,9030,4970,2661,288,22,7,2535,53793
"De 35 a 39 años (006)",26461,24865,78,4902,8026,6372,4604,740,126,17,1596,65752
"De 40 a 44 años (007)",23827,22712,86,3312,6048,6003,5473,1402,336,52,1115,69498
"De 45 a 49 años (008)",20594,19827,68,2465,4535,4808,5448,1832,544,127,767,67262
"De 50 y más años (009)",65997,64296,256,5453,8296,10229,18460,12226,6490,2886,1701,299213
"Sin nivel (010)",20812,20034,85,1663,2212,2491,5156,4367,2785,1275,778,102070
"De 12 a 14 años (011)",8,5,,4,1,,,,,,3,6
"De 15 a 19 años (012)",68,57,,47,7,1,2,,,,11,72
"De 20 a 24 años (013)",332,249,1,117,89,35,4,3,,,83,437
"De 25 a 29 años (014)",456,361,1,118,107,86,42,5,2,,95,815
"De 30 a 34 años (015)",1135,1018,4,202,317,269,186,35,4,1,117,2708
"De 35 a 39 años (016)",1307,1220,2,157,253,289,382,103,30,4,87,4145
"De 40 a 44 años (017)",1554,1474,6,123,264,309,484,194,75,19,80,5783
"De 45 a 49 años (018)",1670,1612,10,138,220,249,505,314,146,30,58,7140
"De 50 y más años (019)",14282,14038,61,757,954,1253,3551,3713,2528,1221,244,80964
