"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MORROPON (000)",59420,56925,16881,6643,6744,5638,7793,5363,3768,4095,2495,185762
"De 12 a 14 años (001)",6030,5975,5932,29,14,,,,,,55,57
"De 15 a 19 años (002)",7883,7693,6856,716,97,19,5,,,,190,987
"De 20 a 24 años (003)",5704,4943,1794,2011,866,214,50,8,,,761,4646
"De 25 a 29 años (004)",5206,4666,584,1353,1568,750,365,44,2,,540,8565
"De 30 a 34 años (005)",5280,4995,332,845,1417,1189,973,199,29,11,285,13073
"De 35 a 39 años (006)",5193,5012,279,475,989,1185,1441,496,126,21,181,16756
"De 40 a 44 años (007)",4800,4673,216,320,627,841,1442,806,304,117,127,19452
"De 45 a 49 años (008)",4165,4073,153,260,409,499,1115,860,506,271,92,20346
"De 50 y más años (009)",15159,14895,735,634,757,941,2402,2950,2801,3675,264,101880
"Conviviente (010)",19179,18731,970,3789,3820,2883,3345,1865,1109,950,448,67146
"De 12 a 14 años (011)",75,28,14,9,5,,,,,,47,19
"De 15 a 19 años (012)",1079,917,287,547,68,14,1,,,,162,729
"De 20 a 24 años (013)",2706,2589,251,1451,670,170,41,6,,,117,3511
"De 25 a 29 años (014)",2960,2905,101,851,1116,559,246,31,1,,55,5995
"De 30 a 34 años (015)",2973,2952,65,442,895,786,618,123,17,6,21,8233
"De 35 a 39 años (016)",2519,2504,45,191,506,625,797,264,64,12,15,8941
"De 40 a 44 años (017)",2007,1999,43,97,228,356,687,387,154,47,8,8937
"De 45 a 49 años (018)",1572,1563,39,70,139,179,424,364,228,120,9,8380
"De 50 y más años (019)",3288,3274,125,131,193,194,531,690,645,765,14,22401
"Separado(a) (020)",2686,2631,43,830,528,338,383,270,125,114,55,8726
"De 12 a 14 años (021)",5,2,1,1,,,,,,,3,1
