"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MOHO (000)",7783,7512,57,1149,1285,1221,2017,1237,448,98,271,29080
"De 12 a 14 años (001)",11,6,,4,2,,,,,,5,8
"De 15 a 19 años (002)",143,117,5,98,10,4,,,,,26,130
"De 20 a 24 años (003)",459,402,2,230,125,33,11,1,,,57,634
"De 25 a 29 años (004)",662,595,3,197,207,116,67,4,1,,67,1272
"De 30 a 34 años (005)",693,658,7,121,185,160,155,27,3,,35,1842
"De 35 a 39 años (006)",722,703,3,87,162,162,205,70,12,2,19,2365
"De 40 a 44 años (007)",697,681,1,45,122,133,224,111,41,4,16,2786
"De 45 a 49 años (008)",602,587,1,40,84,95,190,132,34,11,15,2588
"De 50 y más años (009)",3794,3763,35,327,388,518,1165,892,357,81,31,17455
"Sin nivel (010)",2614,2580,22,234,288,400,778,582,221,55,34,11685
"De 15 a 19 años (012)",4,4,,3,1,,,,,,,5
"De 20 a 24 años (013)",8,7,,3,2,1,1,,,,1,15
"De 25 a 29 años (014)",26,25,,8,8,5,3,1,,,1,58
"De 30 a 34 años (015)",35,33,,6,6,11,9,1,,,2,100
"De 35 a 39 años (016)",62,61,,3,13,20,14,8,2,1,1,226
"De 40 a 44 años (017)",116,112,,9,16,29,31,17,9,1,4,469
"De 45 a 49 años (018)",137,130,,13,17,16,48,26,8,2,7,568
"De 50 y más años (019)",2226,2208,22,189,225,318,672,529,202,51,18,10244
"Educacion Inicial (020)",16,14,1,2,1,6,3,,1,,2,44
"De 15 a 19 años (022)",2,2,,1,1,,,,,,,3
"De 25 a 29 años (024)",2,2,,,,2,,,,,,6
"De 30 a 34 años (025)",11,9,1,1,,4,2,,1,,2,31
