"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SAN ROMAN (000)",93799,89756,33081,13079,14148,9712,11120,5053,2395,1168,4043,184778
"De 12 a 14 años (001)",8511,8476,8444,30,2,,,,,,35,34
"De 15 a 19 años (002)",13298,13145,12342,695,81,15,12,,,,153,950
"De 20 a 24 años (003)",13149,11578,6857,3369,1084,202,55,11,,,1571,6440
"De 25 a 29 años (004)",11442,10187,2672,3419,2752,958,360,19,7,,1255,13482
"De 30 a 34 años (005)",10305,9811,1141,2233,3316,1837,1113,150,16,5,494,20254
"De 35 a 39 años (006)",9044,8862,538,1252,2690,2026,1815,431,84,26,182,24265
"De 40 a 44 años (007)",7368,7219,338,678,1678,1609,2030,628,216,42,149,24019
"De 45 a 49 años (008)",5973,5912,235,500,1003,1145,1762,822,328,117,61,22977
"De 50 y más años (009)",14709,14566,514,903,1542,1920,3973,2992,1744,978,143,72357
"PEA (010)",40168,38025,9582,6815,7475,4938,5333,2301,1054,527,2143,89329
"De 12 a 14 años (011)",418,417,411,6,,,,,,,1,6
"De 15 a 19 años (012)",2975,2922,2657,232,31,1,1,,,,53,301
"De 20 a 24 años (013)",5684,4972,3014,1435,418,75,22,8,,,712,2637
"De 25 a 29 años (014)",5995,5229,1701,1758,1205,391,158,10,6,,766,6119
"De 30 a 34 años (015)",5661,5332,824,1345,1743,851,492,67,9,1,329,9986
"De 35 a 39 años (016)",5142,5016,375,812,1598,1092,878,198,44,19,126,12896
"De 40 a 44 años (017)",4348,4266,202,456,1081,970,1104,319,112,22,82,13548
"De 45 a 49 años (018)",3508,3479,168,332,647,696,978,428,173,57,29,12800
"De 50 y más años (019)",6437,6392,230,439,752,862,1700,1271,710,428,45,31036
