"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MOYOBAMBA (000)",28218,27077,111,5997,5609,4624,5651,3001,1510,574,1141,94080
"De 12 a 14 años (001)",91,34,1,32,1,,,,,,57,34
"De 15 a 19 años (002)",1531,1375,16,1149,173,23,14,,,,156,1620
"De 20 a 24 años (003)",3789,3415,23,1929,1043,330,79,11,,,374,5408
"De 25 a 29 años (004)",4270,3996,14,1287,1388,799,459,48,1,,274,8711
"De 30 a 34 años (005)",3922,3809,9,643,1133,981,833,185,22,3,113,10871
"De 35 a 39 años (006)",3460,3413,10,355,741,814,1015,367,91,20,47,12006
"De 40 a 44 años (007)",2853,2820,10,181,425,610,890,481,166,57,33,11870
"De 45 a 49 años (008)",2198,2184,7,128,254,396,663,434,227,75,14,10282
"De 50 y más años (009)",6104,6031,21,293,451,671,1698,1475,1003,419,73,33278
"PEA (010)",8814,8309,42,2003,1940,1557,1629,757,283,98,505,25952
"De 12 a 14 años (011)",12,8,1,7,,,,,,,4,7
"De 15 a 19 años (012)",279,246,4,207,25,6,4,,,,33,291
"De 20 a 24 años (013)",954,773,5,495,207,46,16,4,,,181,1140
"De 25 a 29 años (014)",1255,1089,7,491,351,151,79,10,,,166,2046
"De 30 a 34 años (015)",1384,1316,7,327,452,292,198,35,4,1,68,3221
"De 35 a 39 años (016)",1330,1308,3,208,370,336,290,83,17,1,22,3886
"De 40 a 44 años (017)",1178,1164,5,107,247,285,323,149,36,12,14,4252
"De 45 a 49 años (018)",905,898,2,71,145,207,276,137,44,16,7,3618
"De 50 y más años (019)",1517,1507,8,90,143,234,443,339,182,68,10,7491
"Ocupada (020)",8673,8188,41,1958,1920,1539,1614,742,278,96,485,25587
