"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia EL DORADO (000)",8084,7772,22,1475,1622,1185,1654,1009,578,227,312,29362
"De 12 a 14 años (001)",31,11,1,9,1,,,,,,20,11
"De 15 a 19 años (002)",611,514,4,420,83,5,2,,,,97,609
"De 20 a 24 años (003)",1197,1121,4,525,430,135,23,4,,,76,1915
"De 25 a 29 años (004)",1136,1095,,251,409,281,144,9,1,,41,2582
"De 30 a 34 años (005)",980,967,,95,291,238,286,52,5,,13,2985
"De 35 a 39 años (006)",953,940,4,66,174,188,336,141,26,5,13,3627
"De 40 a 44 años (007)",752,746,2,34,90,118,268,151,70,13,6,3453
"De 45 a 49 años (008)",632,628,1,18,48,77,206,164,84,30,4,3361
"De 50 y más años (009)",1792,1750,6,57,96,143,389,488,392,179,42,10819
"PEA (010)",3072,2945,7,555,653,441,654,350,210,75,127,10878
"De 12 a 14 años (011)",8,2,,1,1,,,,,,6,3
"De 15 a 19 años (012)",196,158,,126,31,,1,,,,38,192
"De 20 a 24 años (013)",426,394,1,191,158,39,4,1,,,32,648
"De 25 a 29 años (014)",376,353,,95,128,80,48,1,1,,23,807
"De 30 a 34 años (015)",402,393,,50,121,93,113,16,,,9,1153
"De 35 a 39 años (016)",433,427,2,39,99,84,148,50,5,,6,1499
"De 40 a 44 años (017)",331,328,,19,46,49,123,59,27,5,3,1465
"De 45 a 49 años (018)",281,279,1,9,26,43,82,76,35,7,2,1423
"De 50 y más años (019)",619,611,3,25,43,53,135,147,142,63,8,3688
"Ocupada (020)",3049,2927,7,549,646,440,652,350,209,74,122,10827
"De 12 a 14 años (021)",8,2,,1,1,,,,,,6,3
"De 15 a 19 años (022)",193,156,,124,31,,1,,,,37,190
