"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia EL DORADO (000)",8084,245,4129,1932,492,160,89,28,3,,1006
"Catolica (001)",5213,143,2621,1265,339,114,63,19,2,,647
"Cristiana / Evangelica (002)",1868,52,994,453,102,36,20,7,,,204
"Otra (003)",312,15,156,86,18,3,3,1,,,30
"Ninguna (004)",691,35,358,128,33,7,3,1,1,,125
,,,,,,,,,,,
"URBANA (006)",3408,79,1619,838,252,79,60,20,1,,460
"Catolica (007)",2220,47,1020,559,181,56,43,13,1,,300
"Cristiana / Evangelica (008)",798,17,412,195,44,20,12,5,,,93
"Otra (009)",118,5,57,30,11,,2,1,,,12
"Ninguna (010)",272,10,130,54,16,3,3,1,,,55
,,,,,,,,,,,
"RURAL (012)",4676,166,2510,1094,240,81,29,8,2,,546
"Catolica (013)",2993,96,1601,706,158,58,20,6,1,,347
"Cristiana / Evangelica (014)",1070,35,582,258,58,16,8,2,,,111
"Otra (015)",194,10,99,56,7,3,1,,,,18
"Ninguna (016)",419,25,228,74,17,4,,,1,,70
