"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MARISCAL CACERES (000)",12700,339,6369,3310,926,288,138,33,6,,1291
"Sin Nivel (001)",1177,75,659,237,55,13,8,3,1,,126
"Educación Inicial (002)",16,1,10,,3,,,,,,2
"Primaria (003)",6444,214,3753,1448,291,98,66,17,4,,553
"Secundaria (004)",3542,46,1670,1082,275,74,34,6,,,355
"Sup. no Univ. Incompleta (005)",355,2,92,130,51,19,3,1,,,57
"Sup. no Univ. Completa (006)",650,1,105,239,151,46,12,4,,,92
"Sup. Univ. Incompleta (007)",150,,32,56,21,8,2,,,,31
"Sup. Univ. Completa (008)",366,,48,118,79,30,13,2,1,,75
,,,,,,,,,,,
"URBANA (010)",8380,175,3806,2341,748,237,115,28,4,,926
"Sin Nivel (011)",479,34,240,92,28,9,3,3,,,70
"Educación Inicial (012)",8,1,4,,1,,,,,,2
"Primaria (013)",3679,107,2065,853,190,66,53,13,3,,329
"Secundaria (014)",2790,30,1248,884,244,64,30,5,,,285
"Sup. no Univ. Incompleta (015)",322,2,82,118,45,18,3,1,,,53
"Sup. no Univ. Completa (016)",615,1,95,232,141,43,12,4,,,87
"Sup. Univ. Incompleta (017)",133,,27,49,21,7,1,,,,28
"Sup. Univ. Completa (018)",354,,45,113,78,30,13,2,1,,72
,,,,,,,,,,,
"RURAL (020)",4320,164,2563,969,178,51,23,5,2,,365
"Sin Nivel (021)",698,41,419,145,27,4,5,,1,,56
"Educación Inicial (022)",8,,6,,2,,,,,,
"Primaria (023)",2765,107,1688,595,101,32,13,4,1,,224
"Secundaria (024)",752,16,422,198,31,10,4,1,,,70
"Sup. no Univ. Incompleta (025)",33,,10,12,6,1,,,,,4
"Sup. no Univ. Completa (026)",35,,10,7,10,3,,,,,5
"Sup. Univ. Incompleta (027)",17,,5,7,,1,1,,,,3
"Sup. Univ. Completa (028)",12,,3,5,1,,,,,,3
