"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia TACNA (000)",71207,443,1508,3952,8101,14434,21682,21087
"De 12 a 14 años (001)",79,,,,,,1,78
"De 15 a 19 años (002)",1195,,,,,,640,555
"De 20 a 24 años (003)",6615,,,,,29,3280,3306
"De 25 a 29 años (004)",10006,,,,,534,5487,3985
"De 30 a 34 años (005)",10281,,,,5,1795,5340,3141
"De 35 a 39 años (006)",9966,,,,177,3256,4182,2351
"De 40 a 44 años (007)",8385,,,3,751,3652,2080,1899
"De 45 a 49 años (008)",6643,,,62,1704,2959,583,1335
"De 50 y más años (009)",18037,443,1508,3887,5464,2209,89,4437
"PEA (010)",39476,38,282,1435,4494,9544,11790,11893
"De 12 a 14 años (011)",11,,,,,,,11
"De 15 a 19 años (012)",428,,,,,,231,197
"De 20 a 24 años (013)",3169,,,,,20,1497,1652
"De 25 a 29 años (014)",5582,,,,,343,2785,2454
"De 30 a 34 años (015)",6276,,,,4,1181,3017,2074
"De 35 a 39 años (016)",6488,,,,128,2231,2541,1588
"De 40 a 44 años (017)",5600,,,3,518,2505,1312,1262
"De 45 a 49 años (018)",4355,,,38,1103,1955,364,895
"De 50 y más años (019)",7567,38,282,1394,2741,1309,43,1760
"Ocupada (020)",37536,38,279,1399,4368,9198,11114,11140
"De 12 a 14 años (021)",9,,,,,,,9
"De 15 a 19 años (022)",381,,,,,,208,173
"De 20 a 24 años (023)",2870,,,,,17,1358,1495
"De 25 a 29 años (024)",5169,,,,,325,2591,2253
"De 30 a 34 años (025)",5964,,,,4,1134,2867,1959
"De 35 a 39 años (026)",6171,,,,122,2132,2423,1494
"De 40 a 44 años (027)",5412,,,2,506,2417,1273,1214
"De 45 a 49 años (028)",4203,,,37,1054,1900,353,859
"De 50 y más años (029)",7357,38,279,1360,2682,1273,41,1684
"Desocupada (030)",1940,,3,36,126,346,676,753
"De 12 a 14 años (031)",2,,,,,,,2
"De 15 a 19 años (032)",47,,,,,,23,24
"De 20 a 24 años (033)",299,,,,,3,139,157
"De 25 a 29 años (034)",413,,,,,18,194,201
"De 30 a 34 años (035)",312,,,,,47,150,115
"De 35 a 39 años (036)",317,,,,6,99,118,94
"De 40 a 44 años (037)",188,,,1,12,88,39,48
"De 45 a 49 años (038)",152,,,1,49,55,11,36
"De 50 y más años (039)",210,,3,34,59,36,2,76
"No PEA (040)",31731,405,1226,2517,3607,4890,9892,9194
"De 12 a 14 años (041)",68,,,,,,1,67
"De 15 a 19 años (042)",767,,,,,,409,358
"De 20 a 24 años (043)",3446,,,,,9,1783,1654
