"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHUMBIVILCAS (000)",50662,30726,1977,400,17597
"Conviviente (001)",13326,7166,594,101,5473
"Separado(a) (002)",867,441,41,13,374
"Casado(a) (003)",16339,10263,688,126,5274
"Viudo(a) (004)",3204,1892,39,10,1264
"Divorciado(a) (005)",156,72,9,3,72
"Soltero(a) (006)",16770,10892,606,147,5140
"Hombres (008)",25487,14594,1052,249,9613
"Conviviente (009)",6470,3054,338,67,3016
"Separado(a) (010)",189,76,12,7,96
"Casado(a) (011)",8049,4822,378,79,2777
"Viudo(a) (012)",1012,564,9,3,436
"Divorciado(a) (013)",52,21,4,1,26
"Soltero(a) (014)",9715,6057,311,92,3262
"Mujeres (016)",25175,16132,925,151,7984
"Conviviente (017)",6856,4112,256,34,2457
"Separado(a) (018)",678,365,29,6,278
"Casado(a) (019)",8290,5441,310,47,2497
"Viudo(a) (020)",2192,1328,30,7,828
"Divorciado(a) (021)",104,51,5,2,46
"Soltero(a) (022)",7055,4835,295,55,1878
,,,,,
"URBANA (024)",12257,4433,1573,263,6007
"Conviviente (025)",3580,912,480,70,2123
"Separado(a) (026)",314,89,36,11,179
"Casado(a) (027)",3374,1085,537,80,1677
"Viudo(a) (028)",492,174,32,4,282
"Divorciado(a) (029)",52,15,9,1,27
"Soltero(a) (030)",4445,2158,479,97,1719
"Hombres (032)",6173,2127,856,172,3032
"Conviviente (033)",1745,349,278,48,1075
"Separado(a) (034)",64,14,10,6,35
"Casado(a) (035)",1681,508,300,55,821
"Viudo(a) (036)",129,48,7,,74
"Divorciado(a) (037)",16,5,4,1,6
"Soltero(a) (038)",2538,1203,257,62,1021
"Mujeres (040)",6084,2306,717,91,2975
"Conviviente (041)",1835,563,202,22,1048
"Separado(a) (042)",250,75,26,5,144
"Casado(a) (043)",1693,577,237,25,856
"Viudo(a) (044)",363,126,25,4,208
"Divorciado(a) (045)",36,10,5,,21
"Soltero(a) (046)",1907,955,222,35,698
,,,,,
"RURAL (048)",38405,26293,404,137,11590
"Conviviente (049)",9746,6254,114,31,3350
"Separado(a) (050)",553,352,5,2,195
"Casado(a) (051)",12965,9178,151,46,3597
"Viudo(a) (052)",2712,1718,7,6,982
"Divorciado(a) (053)",104,57,,2,45
"Soltero(a) (054)",12325,8734,127,50,3421
"Hombres (056)",19314,12467,196,77,6581
"Conviviente (057)",4725,2705,60,19,1941
"Separado(a) (058)",125,62,2,1,61
"Casado(a) (059)",6368,4314,78,24,1956
"Viudo(a) (060)",883,516,2,3,362
"Divorciado(a) (061)",36,16,,,20
"Soltero(a) (062)",7177,4854,54,30,2241
"Mujeres (064)",19091,13826,208,60,5009
"Conviviente (065)",5021,3549,54,12,1409
"Separado(a) (066)",428,290,3,1,134
"Casado(a) (067)",6597,4864,73,22,1641
"Viudo(a) (068)",1829,1202,5,3,620
"Divorciado(a) (069)",68,41,,2,25
"Soltero(a) (070)",5148,3880,73,20,1180
