"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LIMA (000)",7231601,423979,1779811,896710,4228159
"Sin Nivel (001)",420694,49479,88544,35363,251083
"Educación Inicial (002)",181543,24315,44847,20736,94185
"Primaria (003)",1452486,132385,309130,128201,893566
"Secundaria (004)",2728598,146254,525590,242174,1830668
"Sup. no Univ. Incompleta (005)",531915,19285,118896,59580,338257
"Sup. no Univ. Completa (006)",608012,17906,203410,104302,294537
"Sup. Univ. Incompleta (007)",487050,12991,124217,110301,249569
"Sup. Univ. Completa (008)",821303,21364,365177,196053,276294
"Hombres (010)",3522483,197105,855835,470165,2048697
"Sin Nivel (011)",176127,24003,39825,16441,97729
"Educación Inicial (012)",93320,12717,23256,10766,47898
"Primaria (013)",652872,63492,142062,61603,391149
"Secundaria (014)",1393383,64822,263280,129067,944210
"Sup. no Univ. Incompleta (015)",266155,8246,61126,32329,166671
"Sup. no Univ. Completa (016)",264144,6758,83428,52760,126064
"Sup. Univ. Incompleta (017)",263776,6558,66818,59588,136136
"Sup. Univ. Completa (018)",412706,10509,176040,107611,138840
"Mujeres (020)",3709118,226874,923976,426545,2179462
"Sin Nivel (021)",244567,25476,48719,18922,153354
"Educación Inicial (022)",88223,11598,21591,9970,46287
"Primaria (023)",799614,68893,167068,66598,502417
"Secundaria (024)",1335215,81432,262310,113107,886458
"Sup. no Univ. Incompleta (025)",265760,11039,57770,27251,171586
"Sup. no Univ. Completa (026)",343868,11148,119982,51542,168473
"Sup. Univ. Incompleta (027)",223274,6433,57399,50713,113433
"Sup. Univ. Completa (028)",408597,10855,189137,88442,137454
,,,,,
"URBANA (030)",7222488,422600,1778848,896423,4221667
"Sin Nivel (031)",419696,49262,88450,35344,250415
"Educación Inicial (032)",181276,24214,44821,20729,94052
"Primaria (033)",1449450,131844,308856,128122,891419
"Secundaria (034)",2724767,145784,525197,242073,1827800
"Sup. no Univ. Incompleta (035)",531567,19262,118856,59555,337996
"Sup. no Univ. Completa (036)",607773,17896,203358,104292,294369
"Sup. Univ. Incompleta (037)",486857,12985,124188,110278,249434
"Sup. Univ. Completa (038)",821102,21353,365122,196030,276182
"Hombres (040)",3517657,196467,855257,469983,2045262
"Sin Nivel (041)",175740,23900,39788,16430,97493
"Educación Inicial (042)",93178,12655,23244,10763,47833
"Primaria (043)",651311,63247,141896,61552,390046
"Secundaria (044)",1391173,64612,263021,129001,942534
"Sup. no Univ. Incompleta (045)",265968,8236,61096,32314,166538
"Sup. no Univ. Completa (046)",264039,6755,83404,52753,125992
"Sup. Univ. Incompleta (047)",263649,6556,66799,59573,136045
"Sup. Univ. Completa (048)",412599,10506,176009,107597,138781
"Mujeres (050)",3704831,226133,923591,426440,2176405
"Sin Nivel (051)",243956,25362,48662,18914,152922
"Educación Inicial (052)",88098,11559,21577,9966,46219
"Primaria (053)",798139,68597,166960,66570,501373
"Secundaria (054)",1333594,81172,262176,113072,885266
"Sup. no Univ. Incompleta (055)",265599,11026,57760,27241,171458
"Sup. no Univ. Completa (056)",343734,11141,119954,51539,168377
"Sup. Univ. Incompleta (057)",223208,6429,57389,50705,113389
"Sup. Univ. Completa (058)",408503,10847,189113,88433,137401
,,,,,
"RURAL (060)",9113,1379,963,287,6492
"Sin Nivel (061)",998,217,94,19,668
"Educación Inicial (062)",267,101,26,7,133
"Primaria (063)",3036,541,274,79,2147
"Secundaria (064)",3831,470,393,101,2868
"Sup. no Univ. Incompleta (065)",348,23,40,25,261
"Sup. no Univ. Completa (066)",239,10,52,10,168
"Sup. Univ. Incompleta (067)",193,6,29,23,135
"Sup. Univ. Completa (068)",201,11,55,23,112
"Hombres (070)",4826,638,578,182,3435
"Sin Nivel (071)",387,103,37,11,236
"Educación Inicial (072)",142,62,12,3,65
"Primaria (073)",1561,245,166,51,1103
"Secundaria (074)",2210,210,259,66,1676
"Sup. no Univ. Incompleta (075)",187,10,30,15,133
"Sup. no Univ. Completa (076)",105,3,24,7,72
"Sup. Univ. Incompleta (077)",127,2,19,15,91
"Sup. Univ. Completa (078)",107,3,31,14,59
"Mujeres (080)",4287,741,385,105,3057
"Sin Nivel (081)",611,114,57,8,432
"Educación Inicial (082)",125,39,14,4,68
"Primaria (083)",1475,296,108,28,1044
"Secundaria (084)",1621,260,134,35,1192
"Sup. no Univ. Incompleta (085)",161,13,10,10,128
"Sup. no Univ. Completa (086)",134,7,28,3,96
"Sup. Univ. Incompleta (087)",66,4,10,8,44
"Sup. Univ. Completa (088)",94,8,24,9,53
