"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia JORGE BASADRE (000)",9430,791,2861,1379,4525
"Quechua (001)",378,17,89,124,156
"Aymara (002)",1499,117,240,118,1027
"Asháninka (003)",2,,,,2
"Otra lengua nativa (004)",15,3,3,5,4
"Castellano (005)",7533,654,2528,1132,3334
"Es Sordomudo/a (007)",3,,1,,2
"Hombres (009)",5699,413,1892,1034,2447
"Quechua (010)",274,7,67,119,87
"Aymara (011)",928,62,182,99,588
"Otra lengua nativa (013)",9,1,3,4,1
"Castellano (014)",4486,343,1639,812,1770
"Es Sordomudo/a (016)",2,,1,,1
"Mujeres (018)",3731,378,969,345,2078
"Quechua (019)",104,10,22,5,69
"Aymara (020)",571,55,58,19,439
"Asháninka (021)",2,,,,2
"Otra lengua nativa (022)",6,2,,1,3
"Castellano (023)",3047,311,889,320,1564
"Es Sordomudo/a (025)",1,,,,1
,,,,,
"URBANA (027)",5935,407,2345,1194,2109
"Quechua (028)",288,10,74,116,96
"Aymara (029)",762,67,157,91,449
"Asháninka (030)",1,,,,1
"Otra lengua nativa (031)",15,3,3,5,4
"Castellano (032)",4866,327,2110,982,1557
"Es Sordomudo/a (034)",3,,1,,2
"Hombres (036)",3694,225,1533,895,1122
"Quechua (037)",215,4,57,112,48
"Aymara (038)",488,37,118,78,257
"Otra lengua nativa (040)",9,1,3,4,1
"Castellano (041)",2980,183,1354,701,815
"Es Sordomudo/a (043)",2,,1,,1
"Mujeres (045)",2241,182,812,299,987
"Quechua (046)",73,6,17,4,48
"Aymara (047)",274,30,39,13,192
"Asháninka (048)",1,,,,1
"Otra lengua nativa (049)",6,2,,1,3
"Castellano (050)",1886,144,756,281,742
"Es Sordomudo/a (052)",1,,,,1
,,,,,
"RURAL (054)",3495,384,516,185,2416
"Quechua (055)",90,7,15,8,60
"Aymara (056)",737,50,83,27,578
"Asháninka (057)",1,,,,1
"Castellano (059)",2667,327,418,150,1777
"Hombres (063)",2005,188,359,139,1325
"Quechua (064)",59,3,10,7,39
"Aymara (065)",440,25,64,21,331
"Castellano (068)",1506,160,285,111,955
"Mujeres (072)",1490,196,157,46,1091
"Quechua (073)",31,4,5,1,21
"Aymara (074)",297,25,19,6,247
"Asháninka (075)",1,,,,1
"Castellano (077)",1161,167,133,39,822
