"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ZARUMILLA (000)",35446,7747,3718,1966,22097
"Hombres (001)",18752,3466,1992,1413,11952
"Mujeres (002)",16694,4281,1726,553,10145
"PEA (003)",16194,2204,1883,838,11334
"Hombres (004)",11897,1527,1290,689,8451
"Mujeres (005)",4297,677,593,149,2883
"Ocupada (006)",15599,2106,1867,829,10862
"Hombres (007)",11487,1472,1278,681,8116
"Mujeres (008)",4112,634,589,148,2746
"Desocupada (009)",595,98,16,9,472
"Hombres (010)",410,55,12,8,335
"Mujeres (011)",185,43,4,1,137
"No PEA (012)",19252,5543,1835,1128,10763
"Hombres (013)",6855,1939,702,724,3501
"Mujeres (014)",12397,3604,1133,404,7262
,,,,,
"URBANA (018)",32259,6483,3595,1939,20321
"Hombres (019)",16985,2875,1929,1394,10856
"Mujeres (020)",15274,3608,1666,545,9465
"PEA (021)",14809,1835,1821,818,10398
"Hombres (022)",10666,1210,1248,673,7593
"Mujeres (023)",4143,625,573,145,2805
"Ocupada (024)",14268,1753,1805,809,9964
"Hombres (025)",10301,1167,1236,665,7291
"Mujeres (026)",3967,586,569,144,2673
"Desocupada (027)",541,82,16,9,434
"Hombres (028)",365,43,12,8,302
"Mujeres (029)",176,39,4,1,132
"No PEA (030)",17450,4648,1774,1121,9923
"Hombres (031)",6319,1665,681,721,3263
"Mujeres (032)",11131,2983,1093,400,6660
,,,,,
"RURAL (036)",3187,1264,123,27,1776
"Hombres (037)",1767,591,63,19,1096
"Mujeres (038)",1420,673,60,8,680
"PEA (039)",1385,369,62,20,936
"Hombres (040)",1231,317,42,16,858
"Mujeres (041)",154,52,20,4,78
"Ocupada (042)",1331,353,62,20,898
"Hombres (043)",1186,305,42,16,825
"Mujeres (044)",145,48,20,4,73
"Desocupada (045)",54,16,,,38
"Hombres (046)",45,12,,,33
"Mujeres (047)",9,4,,,5
"No PEA (048)",1802,895,61,7,840
"Hombres (049)",536,274,21,3,238
"Mujeres (050)",1266,621,40,4,602
