"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ATALAYA (000)",43933,18673,3546,774,21016
"Menos de 1 año (001)",1532,925,104,17,488
"De 1 a 14 años (002)",18622,11951,1488,215,5002
"De 15 a 29 años (003)",11684,3484,712,232,7269
"De 30 a 44 años (004)",7082,1439,809,213,4638
"De 45 a 64 años (005)",4137,705,363,73,3004
"De 65 y mas años (006)",876,169,70,24,615
"Hombres (008)",22940,9241,1915,540,11285
"Menos de 1 año (009)",757,468,53,11,226
"De 1 a 14 años (010)",9578,6144,753,110,2589
"De 15 a 29 años (011)",5828,1537,336,182,3779
"De 30 a 44 años (012)",3847,643,465,164,2584
"De 45 a 64 años (013)",2413,354,267,56,1742
"De 65 y mas años (014)",517,95,41,17,365
"Mujeres (016)",20993,9432,1631,234,9731
"Menos de 1 año (017)",775,457,51,6,262
"De 1 a 14 años (018)",9044,5807,735,105,2413
"De 15 a 29 años (019)",5856,1947,376,50,3490
"De 30 a 44 años (020)",3235,796,344,49,2054
"De 45 a 64 años (021)",1724,351,96,17,1262
"De 65 y mas años (022)",359,74,29,7,250
,,,,,
"URBANA (024)",15428,4611,2203,578,8084
"Menos de 1 año (025)",425,258,55,10,104
"De 1 a 14 años (026)",5581,2965,771,133,1730
"De 15 a 29 años (027)",4376,880,435,192,2876
"De 30 a 44 años (028)",2969,295,604,176,1909
"De 45 a 64 años (029)",1686,149,285,51,1206
"De 65 y mas años (030)",391,64,53,16,259
"Hombres (032)",8099,2205,1220,423,4279
"Menos de 1 año (033)",216,134,27,7,49
"De 1 a 14 años (034)",2842,1475,395,72,908
"De 15 a 29 años (035)",2186,375,223,157,1437
"De 30 a 44 años (036)",1603,116,337,136,1022
"De 45 a 64 años (037)",1021,68,206,40,711
"De 65 y mas años (038)",231,37,32,11,152
"Mujeres (040)",7329,2406,983,155,3805
"Menos de 1 año (041)",209,124,28,3,55
"De 1 a 14 años (042)",2739,1490,376,61,822
"De 15 a 29 años (043)",2190,505,212,35,1439
"De 30 a 44 años (044)",1366,179,267,40,887
"De 45 a 64 años (045)",665,81,79,11,495
"De 65 y mas años (046)",160,27,21,5,107
,,,,,
"RURAL (048)",28505,14062,1343,196,12932
"Menos de 1 año (049)",1107,667,49,7,384
"De 1 a 14 años (050)",13041,8986,717,82,3272
"De 15 a 29 años (051)",7308,2604,277,40,4393
"De 30 a 44 años (052)",4113,1144,205,37,2729
"De 45 a 64 años (053)",2451,556,78,22,1798
"De 65 y mas años (054)",485,105,17,8,356
"Hombres (056)",14841,7036,695,117,7006
"Menos de 1 año (057)",541,334,26,4,177
"De 1 a 14 años (058)",6736,4669,358,38,1681
"De 15 a 29 años (059)",3642,1162,113,25,2342
"De 30 a 44 años (060)",2244,527,128,28,1562
"De 45 a 64 años (061)",1392,286,61,16,1031
"De 65 y mas años (062)",286,58,9,6,213
"Mujeres (064)",13664,7026,648,79,5926
"Menos de 1 año (065)",566,333,23,3,207
"De 1 a 14 años (066)",6305,4317,359,44,1591
"De 15 a 29 años (067)",3666,1442,164,15,2051
"De 30 a 44 años (068)",1869,617,77,9,1167
"De 45 a 64 años (069)",1059,270,17,6,767
"De 65 y mas años (070)",199,47,8,2,143
