"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CAYLLOMA (000)",55186,8126,10454,11938,9410,6279,8979
"Conviviente (001)",15678,182,3458,6301,3562,1326,849
"Separado(a) (002)",1485,6,139,373,381,279,307
"Casado(a) (003)",16893,29,351,2614,4383,3973,5543
"Viudo(a) (004)",2304,,4,47,155,282,1816
"Divorciado(a) (005)",266,,5,17,54,67,123
"Soltero(a) (006)",18560,7909,6497,2586,875,352,341
"Hombres (008)",28306,4206,5266,6027,4831,3357,4619
"Conviviente (009)",7785,86,1233,3235,1969,765,497
"Separado(a) (010)",477,3,18,83,124,113,136
"Casado(a) (011)",8609,17,106,1118,2139,2129,3100
"Viudo(a) (012)",757,,1,13,41,89,613
"Divorciado(a) (013)",143,,3,6,26,35,73
"Soltero(a) (014)",10535,4100,3905,1572,532,226,200
"Mujeres (016)",26880,3920,5188,5911,4579,2922,4360
"Conviviente (017)",7893,96,2225,3066,1593,561,352
"Separado(a) (018)",1008,3,121,290,257,166,171
"Casado(a) (019)",8284,12,245,1496,2244,1844,2443
"Viudo(a) (020)",1547,,3,34,114,193,1203
"Divorciado(a) (021)",123,,2,11,28,32,50
"Soltero(a) (022)",8025,3809,2592,1014,343,126,141
,,,,,,,
"URBANA (024)",36490,5918,7088,7937,6430,3995,5122
"Conviviente (025)",10362,134,2250,4188,2433,886,471
"Separado(a) (026)",1175,6,105,289,310,232,233
"Casado(a) (027)",10509,22,242,1768,3000,2426,3051
"Viudo(a) (028)",1463,,4,31,113,186,1129
"Divorciado(a) (029)",173,,4,12,45,51,61
"Soltero(a) (030)",12808,5756,4483,1649,529,214,177
"Hombres (032)",18163,3008,3481,3814,3203,2092,2565
"Conviviente (033)",4991,67,774,2064,1302,512,272
"Separado(a) (034)",359,3,11,65,90,95,95
"Casado(a) (035)",5235,13,75,713,1462,1272,1700
"Viudo(a) (036)",453,,1,8,29,56,359
"Divorciado(a) (037)",89,,3,2,21,27,36
"Soltero(a) (038)",7036,2925,2617,962,299,130,103
"Mujeres (040)",18327,2910,3607,4123,3227,1903,2557
"Conviviente (041)",5371,67,1476,2124,1131,374,199
"Separado(a) (042)",816,3,94,224,220,137,138
"Casado(a) (043)",5274,9,167,1055,1538,1154,1351
"Viudo(a) (044)",1010,,3,23,84,130,770
"Divorciado(a) (045)",84,,1,10,24,24,25
"Soltero(a) (046)",5772,2831,1866,687,230,84,74
,,,,,,,
"RURAL (048)",18696,2208,3366,4001,2980,2284,3857
"Conviviente (049)",5316,48,1208,2113,1129,440,378
"Separado(a) (050)",310,,34,84,71,47,74
"Casado(a) (051)",6384,7,109,846,1383,1547,2492
"Viudo(a) (052)",841,,,16,42,96,687
"Divorciado(a) (053)",93,,1,5,9,16,62
"Soltero(a) (054)",5752,2153,2014,937,346,138,164
"Hombres (056)",10143,1198,1785,2213,1628,1265,2054
"Conviviente (057)",2794,19,459,1171,667,253,225
"Separado(a) (058)",118,,7,18,34,18,41
"Casado(a) (059)",3374,4,31,405,677,857,1400
"Viudo(a) (060)",304,,,5,12,33,254
"Divorciado(a) (061)",54,,,4,5,8,37
"Soltero(a) (062)",3499,1175,1288,610,233,96,97
"Mujeres (064)",8553,1010,1581,1788,1352,1019,1803
"Conviviente (065)",2522,29,749,942,462,187,153
"Separado(a) (066)",192,,27,66,37,29,33
"Casado(a) (067)",3010,3,78,441,706,690,1092
"Viudo(a) (068)",537,,,11,30,63,433
"Divorciado(a) (069)",39,,1,1,4,8,25
"Soltero(a) (070)",2253,978,726,327,113,42,67
