"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia HUAURA (000)",155575,20553,29631,31384,25677,19015,29315
"Católica (001)",132133,17460,24931,26638,22006,16253,24845
"Cristiana/Evangélica (002)",15390,1970,2685,2963,2515,1977,3280
"Otra (003)",4216,568,768,832,688,504,856
"Ninguna (004)",3836,555,1247,951,468,281,334
"Hombres (006)",78129,10413,15034,15772,12623,9402,14885
"Católica (007)",66753,8902,12650,13391,10830,8123,12857
"Cristiana/Evangélica (008)",6996,893,1226,1381,1176,879,1441
"Otra (009)",1964,285,389,397,311,212,370
"Ninguna (010)",2416,333,769,603,306,188,217
"Mujeres (012)",77446,10140,14597,15612,13054,9613,14430
"Católica (013)",65380,8558,12281,13247,11176,8130,11988
"Cristiana/Evangélica (014)",8394,1077,1459,1582,1339,1098,1839
"Otra (015)",2252,283,379,435,377,292,486
"Ninguna (016)",1420,222,478,348,162,93,117
,,,,,,,
"URBANA (018)",135070,17748,25546,27229,22541,16531,25475
"Católica (019)",115087,15030,21411,23173,19397,14257,21819
"Cristiana/Evangélica (020)",12599,1680,2257,2449,2083,1548,2582
"Otra (021)",3932,537,731,771,643,471,779
"Ninguna (022)",3452,501,1147,836,418,255,295
"Hombres (024)",67049,8982,12847,13482,10942,8052,12744
"Católica (025)",57345,7639,10744,11451,9417,6997,11097
"Cristiana/Evangélica (026)",5714,769,1036,1133,970,691,1115
"Otra (027)",1824,271,370,371,285,193,334
"Ninguna (028)",2166,303,697,527,270,171,198
"Mujeres (030)",68021,8766,12699,13747,11599,8479,12731
"Católica (031)",57742,7391,10667,11722,9980,7260,10722
"Cristiana/Evangélica (032)",6885,911,1221,1316,1113,857,1467
"Otra (033)",2108,266,361,400,358,278,445
"Ninguna (034)",1286,198,450,309,148,84,97
,,,,,,,
"RURAL (036)",20505,2805,4085,4155,3136,2484,3840
"Católica (037)",17046,2430,3520,3465,2609,1996,3026
"Cristiana/Evangélica (038)",2791,290,428,514,432,429,698
"Otra (039)",284,31,37,61,45,33,77
"Ninguna (040)",384,54,100,115,50,26,39
"Hombres (042)",11080,1431,2187,2290,1681,1350,2141
"Católica (043)",9408,1263,1906,1940,1413,1126,1760
"Cristiana/Evangélica (044)",1282,124,190,248,206,188,326
"Otra (045)",140,14,19,26,26,19,36
"Ninguna (046)",250,30,72,76,36,17,19
"Mujeres (048)",9425,1374,1898,1865,1455,1134,1699
"Católica (049)",7638,1167,1614,1525,1196,870,1266
"Cristiana/Evangélica (050)",1509,166,238,266,226,241,372
"Otra (051)",144,17,18,35,19,14,41
"Ninguna (052)",134,24,28,39,14,9,20
