"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia MAYNAS (000)",357444,60487,81497,73467,56243,40679,45071
"Católica (001)",272290,45265,61420,56443,43363,31483,34316
"Cristiana/Evangélica (002)",63810,11558,14600,12450,9682,7202,8318
"Otra (003)",12774,2197,2857,2549,2022,1381,1768
"Ninguna (004)",8570,1467,2620,2025,1176,613,669
"Hombres (006)",179449,30158,40905,36314,27787,21090,23195
"Católica (007)",137122,22633,30820,27909,21447,16453,17860
"Cristiana/Evangélica (008)",30860,5616,7196,5913,4582,3528,4025
"Otra (009)",6240,1096,1393,1246,1009,652,844
"Ninguna (010)",5227,813,1496,1246,749,457,466
"Mujeres (012)",177995,30329,40592,37153,28456,19589,21876
"Católica (013)",135168,22632,30600,28534,21916,15030,16456
"Cristiana/Evangélica (014)",32950,5942,7404,6537,5100,3674,4293
"Otra (015)",6534,1101,1464,1303,1013,729,924
"Ninguna (016)",3343,654,1124,779,427,156,203
,,,,,,,
"URBANA (018)",291955,47557,67538,60858,46156,33606,36240
"Católica (019)",221017,35137,50396,46444,35494,25935,27611
"Cristiana/Evangélica (020)",51417,9109,12106,10190,7741,5829,6442
"Otra (021)",11920,2014,2698,2389,1887,1294,1638
"Ninguna (022)",7601,1297,2338,1835,1034,548,549
"Hombres (024)",142848,23266,33185,29346,22113,16965,17973
"Católica (025)",108156,17217,24673,22285,16967,13170,13844
"Cristiana/Evangélica (026)",24318,4345,5897,4777,3550,2779,2970
"Otra (027)",5762,996,1303,1153,937,602,771
"Ninguna (028)",4612,708,1312,1131,659,414,388
"Mujeres (030)",149107,24291,34353,31512,24043,16641,18267
"Católica (031)",112861,17920,25723,24159,18527,12765,13767
"Cristiana/Evangélica (032)",27099,4764,6209,5413,4191,3050,3472
"Otra (033)",6158,1018,1395,1236,950,692,867
"Ninguna (034)",2989,589,1026,704,375,134,161
,,,,,,,
"RURAL (036)",65489,12930,13959,12609,10087,7073,8831
"Católica (037)",51273,10128,11024,9999,7869,5548,6705
"Cristiana/Evangélica (038)",12393,2449,2494,2260,1941,1373,1876
"Otra (039)",854,183,159,160,135,87,130
"Ninguna (040)",969,170,282,190,142,65,120
"Hombres (042)",36601,6892,7720,6968,5674,4125,5222
"Católica (043)",28966,5416,6147,5624,4480,3283,4016
"Cristiana/Evangélica (044)",6542,1271,1299,1136,1032,749,1055
"Otra (045)",478,100,90,93,72,50,73
"Ninguna (046)",615,105,184,115,90,43,78
"Mujeres (048)",28888,6038,6239,5641,4413,2948,3609
"Católica (049)",22307,4712,4877,4375,3389,2265,2689
"Cristiana/Evangélica (050)",5851,1178,1195,1124,909,624,821
"Otra (051)",376,83,69,67,63,37,57
"Ninguna (052)",354,65,98,75,52,22,42
