"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia PIURA (000)",499135,72277,103434,103364,83749,62612,73699
"Conviviente (001)",96633,1209,20402,35427,21438,10516,7641
"Separado(a) (002)",16172,85,1551,3738,4145,3372,3281
"Casado(a) (003)",169316,175,7359,33172,45171,39838,43601
"Viudo(a) (004)",15789,2,61,306,785,1730,12905
"Divorciado(a) (005)",1691,,36,204,406,509,536
"Soltero(a) (006)",199534,70806,74025,30517,11804,6647,5735
"Hombres (008)",242959,36409,51133,49321,39849,30432,35815
"Conviviente (009)",46307,389,7347,16998,11227,5832,4514
"Separado(a) (010)",3875,23,218,795,998,908,933
"Casado(a) (011)",82738,75,2266,14343,21495,20227,24332
"Viudo(a) (012)",4306,2,11,70,183,420,3620
"Divorciado(a) (013)",659,,14,67,165,195,218
"Soltero(a) (014)",105074,35920,41277,17048,5781,2850,2198
"Mujeres (016)",256176,35868,52301,54043,43900,32180,37884
"Conviviente (017)",50326,820,13055,18429,10211,4684,3127
"Separado(a) (018)",12297,62,1333,2943,3147,2464,2348
"Casado(a) (019)",86578,100,5093,18829,23676,19611,19269
"Viudo(a) (020)",11483,,50,236,602,1310,9285
"Divorciado(a) (021)",1032,,22,137,241,314,318
"Soltero(a) (022)",94460,34886,32748,13469,6023,3797,3537
,,,,,,,
"URBANA (024)",432696,61243,89220,89874,73207,55313,63839
"Conviviente (025)",83990,984,17294,31064,18898,9224,6526
"Separado(a) (026)",14997,75,1392,3434,3864,3186,3046
"Casado(a) (027)",143213,138,5525,27206,38626,34717,37001
"Viudo(a) (028)",13984,2,51,267,671,1543,11450
"Divorciado(a) (029)",1631,,31,197,401,497,505
"Soltero(a) (030)",174881,60044,64927,27706,10747,6146,5311
"Hombres (032)",207838,30704,43643,42356,34356,26512,30267
"Conviviente (033)",40030,344,6254,14726,9825,5064,3817
"Separado(a) (034)",3548,21,202,747,915,838,825
"Casado(a) (035)",69625,68,1711,11609,18212,17544,20481
"Viudo(a) (036)",3607,2,10,59,152,354,3030
"Divorciado(a) (037)",632,,12,64,162,191,203
"Soltero(a) (038)",90396,30269,35454,15151,5090,2521,1911
"Mujeres (040)",224858,30539,45577,47518,38851,28801,33572
"Conviviente (041)",43960,640,11040,16338,9073,4160,2709
"Separado(a) (042)",11449,54,1190,2687,2949,2348,2221
"Casado(a) (043)",73588,70,3814,15597,20414,17173,16520
"Viudo(a) (044)",10377,,41,208,519,1189,8420
"Divorciado(a) (045)",999,,19,133,239,306,302
"Soltero(a) (046)",84485,29775,29473,12555,5657,3625,3400
,,,,,,,
"RURAL (048)",66439,11034,14214,13490,10542,7299,9860
"Conviviente (049)",12643,225,3108,4363,2540,1292,1115
"Separado(a) (050)",1175,10,159,304,281,186,235
"Casado(a) (051)",26103,37,1834,5966,6545,5121,6600
"Viudo(a) (052)",1805,,10,39,114,187,1455
"Divorciado(a) (053)",60,,5,7,5,12,31
"Soltero(a) (054)",24653,10762,9098,2811,1057,501,424
"Hombres (056)",35121,5705,7490,6965,5493,3920,5548
"Conviviente (057)",6277,45,1093,2272,1402,768,697
"Separado(a) (058)",327,2,16,48,83,70,108
"Casado(a) (059)",13113,7,555,2734,3283,2683,3851
"Viudo(a) (060)",699,,1,11,31,66,590
"Divorciado(a) (061)",27,,2,3,3,4,15
"Soltero(a) (062)",14678,5651,5823,1897,691,329,287
"Mujeres (064)",31318,5329,6724,6525,5049,3379,4312
"Conviviente (065)",6366,180,2015,2091,1138,524,418
"Separado(a) (066)",848,8,143,256,198,116,127
"Casado(a) (067)",12990,30,1279,3232,3262,2438,2749
"Viudo(a) (068)",1106,,9,28,83,121,865
"Divorciado(a) (069)",33,,3,4,2,8,16
"Soltero(a) (070)",9975,5111,3275,914,366,172,137
