"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia TOCACHE (000)",22848,22303,6521,3333,3188,2562,3504,1801,1394,545
"Católica (001)",12862,12518,3764,2006,1918,1474,1812,885,659,344
"Cristiana/Evangélica (002)",7123,6999,1804,869,867,795,1313,749,602,124
"Otra (003)",997,977,282,134,146,103,162,86,64,20
"Ninguna (004)",1866,1809,671,324,257,190,217,81,69,57
,,,,,,,,,,
"URBANA (006)",12550,12195,3760,1951,1812,1445,1791,838,598,355
"Católica (007)",7615,7379,2267,1275,1182,912,994,451,298,236
"Cristiana/Evangélica (008)",3513,3441,967,469,428,392,613,316,256,72
"Otra (009)",619,601,199,78,92,62,93,46,31,18
"Ninguna (010)",803,774,327,129,110,79,91,25,13,29
,,,,,,,,,,
"RURAL (012)",10298,10108,2761,1382,1376,1117,1713,963,796,190
"Católica (013)",5247,5139,1497,731,736,562,818,434,361,108
"Cristiana/Evangélica (014)",3610,3558,837,400,439,403,700,433,346,52
"Otra (015)",378,376,83,56,54,41,69,40,33,2
"Ninguna (016)",1063,1035,344,195,147,111,126,56,56,28
